county,infant_deaths_2023,imr_2023,infant_deaths_2021_2023,imr_2021_2023,infant_deaths_2018_2020,imr_2018_2020,source,source_url
South Carolina,194,5.4,554,5.0,499,4.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Abbeville,0,0.0,2,4.0,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Aiken,8,6.5,17,4.5,16,4.3,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Allendale,0,0.0,0,0.0,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Anderson,10,5.6,29,5.3,24,4.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Bamberg,0,0.0,0,0.0,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Barnwell,0,0.0,2,5.0,1,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Beaufort,8,6.2,18,4.6,11,2.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Berkeley,6,3.1,24,4.1,19,3.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Calhoun,0,0.0,0,0.0,2,9.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Charleston,14,4.3,53,5.2,33,3.3,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Cherokee,2,4.6,6,4.4,11,7.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Chester,1,5.1,6,10.7,6,10.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Chesterfield,0,0.0,5,5.5,7,8.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Clarendon,0,0.0,3,7.0,1,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Colleton,1,3.9,6,7.7,6,7.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Darlington,1,2.8,4,3.6,9,8.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Dillon,2,13.5,5,10.5,3,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Dorchester,4,3.3,12,3.2,14,3.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Edgefield,0,0.0,1,2.8,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Fairfield,0,0.0,0,0.0,3,14.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Florence,4,5.7,14,6.3,20,8.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Georgetown,5,16.6,8,9.0,7,7.7,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Greenville,23,5.4,66,4.8,51,3.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Greenwood,3,7.7,5,4.0,6,4.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Hampton,0,0.0,1,3.8,3,11.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Horry,12,4.8,28,3.8,35,4.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Jasper,0,0.0,3,4.6,4,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Kershaw,2,3.9,9,5.8,9,5.7,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lancaster,3,3.6,9,3.8,13,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Laurens,6,11.9,11,7.2,4,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lee,0,0.0,1,6.5,1,7.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lexington,11,5.0,33,4.7,33,4.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
McCormick,0,0.0,0,0.0,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Marion,4,33.6,5,15.3,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Marlboro,0,0.0,0,0.0,1,3.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Newberry,1,4.3,5,6.9,3,4.1,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Oconee,6,10.8,16,9.2,20,11.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Orangeburg,1,3.9,4,5.0,3,3.4,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Pickens,10,9.6,25,7.8,16,5.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Richland,7,4.0,22,4.2,19,3.4,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Saluda,2,19.4,5,11.8,7,13.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Spartanburg,21,6.7,50,5.5,40,4.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Sumter,1,1.7,12,6.8,12,6.1,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Union,1,6.4,2,4.2,5,9.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Williamsburg,1,11.1,1,3.6,1,3.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
York,13,6.3,26,4.2,20,3.3,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
