tract_fips,uninsured_pct,high_blood_pressure_pct,coronary_heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,fair_poor_health_pct,housing_insecurity_pct,transportation_barrier_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,utility_shutoff_threat_pct,stroke_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019000100,7.6,33.2,6.5,8.9,22.4,11.5,9.6,14.5,7.4,5.6,27.6,18.5,13.5,27.8,5.2,3.4,0.2873,0.4527,0.1967,0.2187,0.3032,1912,325,64,257,89,61
45019000200,4.5,36.6,7.1,5.0,17.9,11.0,3.7,10.3,3.1,2.5,22.8,14.2,8.9,22.9,2.1,3.3,0.0101,0.0489,0.0303,0.0151,0.1077,1232,77,6,149,0,32
45019000400,11.0,24.6,5.2,9.9,28.6,8.9,18.7,17.7,12.1,11.7,36.7,22.1,21.5,27.3,8.7,3.0,0.364,0.5655,0.0135,0.4645,0.7374,3462,994,38,669,100,66
45019000500,5.0,23.3,3.9,5.4,23.3,6.9,5.1,8.7,4.6,3.8,28.2,12.0,13.3,22.9,3.2,1.9,0.0223,0.223,0.04,0.0632,0.0347,1464,292,31,228,19,5
45019000600,7.0,14.9,2.0,5.5,25.9,4.0,8.4,8.8,6.8,6.0,34.1,12.2,16.8,21.7,4.4,1.1,0.0837,0.3488,0.001,0.1844,0.5115,1065,285,16,173,38,18
45019000700,11.2,19.5,3.2,10.1,29.4,6.6,19.1,16.1,12.6,12.1,38.4,20.1,22.8,26.7,8.8,2.1,0.35,0.734,0.0027,0.3908,0.6903,2979,938,126,487,218,0
45019000900,13.1,27.4,4.0,13.4,25.0,10.2,23.3,19.0,17.4,12.8,35.6,23.5,19.8,33.6,12.8,2.9,0.3947,0.9552,0.0602,0.5576,0.0443,1671,772,151,278,263,105
45019001000,10.5,21.4,3.2,10.6,28.0,7.2,17.9,15.8,12.7,11.0,35.1,19.3,20.4,28.9,9.6,2.1,0.3475,0.7031,0.0069,0.3511,0.6391,2429,1087,58,625,112,125
45019001100,11.0,26.9,3.9,11.0,24.3,9.7,18.3,16.5,14.0,10.1,33.8,21.0,17.9,31.5,10.1,2.7,0.5983,0.7413,0.377,0.6267,0.405,3006,1199,92,469,291,132
45019001500,8.5,28.1,3.7,8.6,20.9,9.4,11.4,12.7,10.0,6.4,31.6,17.1,14.5,29.1,6.5,2.6,0.1026,0.2504,0.0093,0.575,0.3344,1450,163,20,180,49,86
45019001901,7.6,29.7,5.1,9.4,22.2,9.7,9.0,12.9,7.7,5.2,27.3,17.1,13.6,28.2,5.4,2.8,0.103,0.3428,0.0393,0.3546,0.1235,4575,747,36,359,720,179
45019001902,8.6,26.1,4.3,9.9,24.0,8.3,10.6,12.9,9.0,6.3,30.4,17.6,15.7,28.0,6.0,2.4,0.3576,0.6592,0.0311,0.5092,0.4122,5380,1187,247,1036,599,58
45019002002,7.7,26.5,4.3,9.2,22.7,8.3,8.6,11.8,7.7,5.1,28.9,16.2,14.3,27.2,5.0,2.4,0.1124,0.2008,0.06,0.3042,0.2587,6066,562,28,540,463,205
45019002004,5.5,35.2,6.5,8.4,20.1,11.4,5.9,12.4,5.0,3.6,24.5,16.6,11.1,26.5,3.4,3.2,0.0338,0.0587,0.0634,0.0,0.1985,684,45,0,59,21,34
45019002005,6.7,29.0,4.9,8.6,21.4,9.0,6.9,11.5,6.2,4.1,26.9,15.7,12.7,26.2,4.1,2.6,0.0084,0.025,0.0595,0.0759,0.063,6455,84,46,359,253,65
45019002006,7.7,31.4,5.3,9.5,20.8,10.2,9.0,13.2,7.7,5.0,28.2,18.0,13.2,27.8,5.1,3.0,0.238,0.0875,0.288,0.4348,0.5598,5085,585,54,315,70,152
45019002007,6.1,30.0,5.3,7.5,20.4,9.1,5.8,11.0,5.2,3.6,25.6,14.8,11.5,25.0,3.4,2.7,0.0146,0.0183,0.1564,0.0375,0.0623,3556,113,11,104,23,165
45019002008,8.5,34.1,6.4,9.0,20.8,11.5,10.2,14.7,8.4,5.8,29.7,20.2,13.7,27.7,5.5,3.7,0.5478,0.4648,0.2238,0.5136,0.82,4356,754,69,594,399,154
45019002009,8.0,34.3,5.4,9.4,20.2,12.1,11.0,14.4,9.5,6.0,29.6,19.5,13.7,30.0,6.3,3.4,0.3642,0.391,0.4731,0.6398,0.2319,5005,486,200,691,231,121
45019002103,10.2,37.5,6.7,10.1,19.3,14.1,12.5,16.8,9.8,6.4,28.2,21.3,12.7,30.7,6.5,3.9,0.4752,0.5637,0.1934,0.4684,0.5542,3790,870,63,423,322,342
45019002104,3.2,41.0,7.9,4.3,16.3,12.6,2.9,10.2,2.3,2.0,20.9,14.0,7.4,22.5,1.6,3.6,0.0109,0.0201,0.028,0.0077,0.1835,2130,84,26,113,0,10
45019002105,3.2,42.2,8.3,4.7,16.6,13.0,3.1,10.8,2.4,2.1,20.8,14.8,7.5,23.2,1.7,3.8,0.004,0.0176,0.0347,0.0151,0.0641,2155,137,5,216,27,10
45019002106,8.8,33.8,6.3,11.7,23.1,12.3,12.2,16.4,9.7,6.7,27.8,20.9,14.7,31.3,7.1,3.5,0.1546,0.2134,0.0483,0.4833,0.3594,3320,665,37,192,222,73
45019002107,8.8,27.0,4.1,9.6,22.5,8.9,10.0,12.6,9.2,5.8,29.7,17.0,14.8,28.9,5.9,2.4,0.295,0.3371,0.0536,0.4587,0.6159,11193,1339,151,895,1380,509
45019002108,11.8,36.2,6.9,12.4,20.6,13.3,12.9,18.0,10.1,6.4,30.0,23.4,14.1,30.1,6.2,3.9,0.1676,0.3107,0.4098,0.3026,0.0713,1869,224,0,58,254,230
45019002200,8.3,40.0,6.7,9.9,18.0,14.6,12.2,16.5,10.0,6.3,29.6,21.6,12.6,31.0,6.5,4.2,0.6615,0.7016,0.4165,0.6257,0.627,2302,404,88,230,300,259
45019002300,9.0,46.0,9.4,11.7,19.0,18.3,14.0,20.4,10.0,6.9,27.5,25.8,12.5,32.8,7.2,5.4,0.5869,0.7929,0.4101,0.467,0.3366,1623,473,83,183,219,138
45019002401,11.3,45.9,8.8,15.6,20.1,19.4,21.8,24.1,16.1,10.4,30.7,30.1,15.4,37.8,12.0,5.7,0.41,0.359,0.2371,0.6659,0.5422,1425,443,17,61,92,92
