tract_fips,value,svi_percentile,E_TOTPOP,issue
45019004300,25.3,0.8631,2198,diabetes_pct
45019005500,23.6,0.9101,1521,diabetes_pct
45019004000,23.2,0.8304,2541,diabetes_pct
45019002402,21.9,0.5297,2718,diabetes_pct
45019004400,20.3,0.96,2443,diabetes_pct
45019002503,19.5,0.4735,2518,diabetes_pct
45019002401,19.4,0.41,1425,diabetes_pct
45019003800,19.4,0.6159,3763,diabetes_pct
45019003700,18.8,0.9282,3161,diabetes_pct
45019005002,18.5,0.5655,3401,diabetes_pct
45019004300,48.2,0.8631,2198,obesity_pct
45019005500,46.4,0.9101,1521,obesity_pct
45019004000,45.1,0.8304,2541,obesity_pct
45019002402,41.2,0.5297,2718,obesity_pct
45019003800,40.6,0.6159,3763,obesity_pct
45019003400,40.0,0.9913,4932,obesity_pct
45019003700,40.0,0.9282,3161,obesity_pct
45019003105,39.8,0.9227,3628,obesity_pct
45019003300,39.5,0.9861,3458,obesity_pct
45019004400,39.3,0.96,2443,obesity_pct
45019003105,27.7,0.9227,3628,uninsured_pct
45019003104,26.5,0.9699,5451,uninsured_pct
45019003400,24.0,0.9913,4932,uninsured_pct
45019004300,21.5,0.8631,2198,uninsured_pct
45019005500,20.6,0.9101,1521,uninsured_pct
45019003110,20.5,0.9278,7014,uninsured_pct
45019003300,18.4,0.9861,3458,uninsured_pct
45019003800,17.8,0.6159,3763,uninsured_pct
45019004000,17.1,0.8304,2541,uninsured_pct
45019003900,16.9,0.8071,4049,uninsured_pct
45019004300,50.6,0.8631,2198,food_insecurity_pct
45019005500,47.2,0.9101,1521,food_insecurity_pct
45019004000,41.4,0.8304,2541,food_insecurity_pct
45019003400,37.1,0.9913,4932,food_insecurity_pct
45019003105,36.9,0.9227,3628,food_insecurity_pct
45019003800,33.5,0.6159,3763,food_insecurity_pct
45019003700,32.2,0.9282,3161,food_insecurity_pct
45019003104,31.9,0.9699,5451,food_insecurity_pct
45019003300,31.2,0.9861,3458,food_insecurity_pct
45019005400,30.8,0.796,2482,food_insecurity_pct
45019000700,22.8,0.35,2979,mental_distress_pct
45019000400,21.5,0.364,3462,mental_distress_pct
45019004300,21.4,0.8631,2198,mental_distress_pct
45019005500,21.1,0.9101,1521,mental_distress_pct
45019001000,20.4,0.3475,2429,mental_distress_pct
45019003400,20.0,0.9913,4932,mental_distress_pct
45019003116,19.9,0.8571,4930,mental_distress_pct
45019000900,19.8,0.3947,1671,mental_distress_pct
45019003115,19.5,0.9433,8255,mental_distress_pct
45019005400,19.5,0.796,2482,mental_distress_pct
45019004300,38.9,0.8631,2198,fair_poor_health_pct
45019005500,36.9,0.9101,1521,fair_poor_health_pct
45019004000,32.6,0.8304,2541,fair_poor_health_pct
45019003105,29.6,0.9227,3628,fair_poor_health_pct
45019003400,29.3,0.9913,4932,fair_poor_health_pct
45019003800,28.7,0.6159,3763,fair_poor_health_pct
45019002402,28.3,0.5297,2718,fair_poor_health_pct
45019003700,27.2,0.9282,3161,fair_poor_health_pct
45019003300,26.8,0.9861,3458,fair_poor_health_pct
45019004400,26.3,0.96,2443,fair_poor_health_pct
