health_measure,svi_theme,pearson_r,p_value,n
diabetes_pct,RPL_THEMES,0.6332167109051656,2.6271907812304353e-12,98
diabetes_pct,RPL_THEME1,0.5353073832274822,1.3551382516533844e-08,98
diabetes_pct,RPL_THEME2,0.5646606252684081,1.3956795119279774e-09,98
diabetes_pct,RPL_THEME3,0.6167380434244716,1.3649708040645753e-11,98
diabetes_pct,RPL_THEME4,0.37256306984428994,0.00015820848482020816,98
obesity_pct,RPL_THEMES,0.8253981881389695,1.427137296676421e-25,98
obesity_pct,RPL_THEME1,0.7680285345993914,2.764462100505402e-20,98
obesity_pct,RPL_THEME2,0.6304922301906635,3.4733195502253047e-12,98
obesity_pct,RPL_THEME3,0.8566407686402946,2.4135254403876127e-29,98
obesity_pct,RPL_THEME4,0.5737009451687352,6.621089978242271e-10,98
uninsured_pct,RPL_THEMES,0.8541927867727765,5.120560375397738e-29,98
uninsured_pct,RPL_THEME1,0.812208810533522,3.374068600793957e-24,98
uninsured_pct,RPL_THEME2,0.653374983638135,3.0468389709234423e-13,98
uninsured_pct,RPL_THEME3,0.8375999506065813,5.9834750931615926e-27,98
uninsured_pct,RPL_THEME4,0.6736888089531639,2.929229138047976e-14,98
food_insecurity_pct,RPL_THEMES,0.8452641031241362,7.113913948410237e-28,98
food_insecurity_pct,RPL_THEME1,0.8218635167388156,3.41717859105745e-25,98
food_insecurity_pct,RPL_THEME2,0.5960147970668661,9.506527474623327e-11,98
food_insecurity_pct,RPL_THEME3,0.8521577804751282,9.47038469582597e-29,98
food_insecurity_pct,RPL_THEME4,0.6414562956093193,1.1102166527787073e-12,98
housing_insecurity_pct,RPL_THEMES,0.8571594462997264,2.054283398046553e-29,98
housing_insecurity_pct,RPL_THEME1,0.8266981802809896,1.030037523426829e-25,98
housing_insecurity_pct,RPL_THEME2,0.6073039172449656,3.360485923166083e-11,98
housing_insecurity_pct,RPL_THEME3,0.8770106645284076,2.5432536968410434e-32,98
housing_insecurity_pct,RPL_THEME4,0.6466096022742827,6.392091112841123e-13,98
mental_distress_pct,RPL_THEMES,0.7093297769229702,2.9745363852835116e-16,98
mental_distress_pct,RPL_THEME1,0.7903294523163076,3.8354765619278057e-22,98
mental_distress_pct,RPL_THEME2,0.3723141592498462,0.00015994628350115734,98
mental_distress_pct,RPL_THEME3,0.7563593972842245,2.153359952101977e-19,98
mental_distress_pct,RPL_THEME4,0.6388006142094113,1.4696265881620926e-12,98
depression_pct,RPL_THEMES,0.012415977638807028,0.9034221046823655,98
depression_pct,RPL_THEME1,0.20556776638712035,0.0422906516937432,98
depression_pct,RPL_THEME2,-0.20450711721050957,0.043389256963726745,98
depression_pct,RPL_THEME3,0.020952187611850758,0.8377461463671011,98
depression_pct,RPL_THEME4,0.18741075071360647,0.06462019354682669,98
smoking_pct,RPL_THEMES,0.8177291588941733,9.262336247779701e-25,98
smoking_pct,RPL_THEME1,0.7763627840129504,5.92065972992315e-21,98
smoking_pct,RPL_THEME2,0.603978939336156,4.5841385361207296e-11,98
smoking_pct,RPL_THEME3,0.8300317169654375,4.4083112535578377e-26,98
smoking_pct,RPL_THEME4,0.6004201623571356,6.366219437283564e-11,98
high_blood_pressure_pct,RPL_THEMES,0.44691581245009065,3.966871703495154e-06,98
high_blood_pressure_pct,RPL_THEME1,0.3240922313225371,0.0011318313913866956,98
high_blood_pressure_pct,RPL_THEME2,0.45775082719888066,2.147894439291814e-06,98
high_blood_pressure_pct,RPL_THEME3,0.40530551492413813,3.473581999495071e-05,98
high_blood_pressure_pct,RPL_THEME4,0.20098727065893432,0.047206434526657876,98
coronary_heart_disease_pct,RPL_THEMES,0.3452514549443054,0.0004983069721554948,98
coronary_heart_disease_pct,RPL_THEME1,0.23285078931771844,0.02103576771590684,98
coronary_heart_disease_pct,RPL_THEME2,0.3847675564283601,9.159234252863663e-05,98
coronary_heart_disease_pct,RPL_THEME3,0.2527131021925482,0.01205518436328843,98
coronary_heart_disease_pct,RPL_THEME4,0.15735800562869215,0.12175832571959262,98
stroke_pct,RPL_THEMES,0.6122015569984143,2.1129558165642442e-11,98
stroke_pct,RPL_THEME1,0.5244787083339141,2.9712160581732596e-08,98
stroke_pct,RPL_THEME2,0.5240676977937394,3.059436923523112e-08,98
stroke_pct,RPL_THEME3,0.5897679606516882,1.6614185388511886e-10,98
stroke_pct,RPL_THEME4,0.3704015878422297,0.00017390073480443784,98
fair_poor_health_pct,RPL_THEMES,0.8306588705031227,3.750037473509177e-26,98
fair_poor_health_pct,RPL_THEME1,0.7813650949986963,2.2735946044930046e-21,98
fair_poor_health_pct,RPL_THEME2,0.6332590455895601,2.6157610609618685e-12,98
fair_poor_health_pct,RPL_THEME3,0.8174182255559568,9.973451225299696e-25,98
fair_poor_health_pct,RPL_THEME4,0.6026224780489795,5.197896966199401e-11,98
physical_inactivity_pct,RPL_THEMES,0.8476873077074867,3.5417523628779997e-28,98
physical_inactivity_pct,RPL_THEME1,0.7882757903340398,5.809994009787159e-22,98
physical_inactivity_pct,RPL_THEME2,0.6577235181899448,1.8735963665760024e-13,98
physical_inactivity_pct,RPL_THEME3,0.8402625877391597,2.8918871341634273e-27,98
physical_inactivity_pct,RPL_THEME4,0.6129393140314768,1.968951102740102e-11,98
utility_shutoff_threat_pct,RPL_THEMES,0.8190550863915832,6.745887177987328e-25,98
utility_shutoff_threat_pct,RPL_THEME1,0.7940353686015282,1.7914657743111532e-22,98
utility_shutoff_threat_pct,RPL_THEME2,0.5666055513134022,1.1910614765727428e-09,98
utility_shutoff_threat_pct,RPL_THEME3,0.8341604020172464,1.5015289253353762e-26,98
utility_shutoff_threat_pct,RPL_THEME4,0.6172265003448605,1.301694412653064e-11,98
transportation_barrier_pct,RPL_THEMES,0.829884573486377,4.5783579764016246e-26,98
transportation_barrier_pct,RPL_THEME1,0.8278920045151437,7.616655585533867e-26,98
transportation_barrier_pct,RPL_THEME2,0.5493955045272882,4.67784825641596e-09,98
transportation_barrier_pct,RPL_THEME3,0.8373149655046085,6.462690005757265e-27,98
transportation_barrier_pct,RPL_THEME4,0.6536521361582334,2.954561189784927e-13,98
loneliness_pct,RPL_THEMES,0.7685675038701278,2.5071429660469227e-20,98
loneliness_pct,RPL_THEME1,0.8215176250376129,3.7181347794945673e-25,98
loneliness_pct,RPL_THEME2,0.4397667079168263,5.879139608585943e-06,98
loneliness_pct,RPL_THEME3,0.8392762403815828,3.79162922291258e-27,98
loneliness_pct,RPL_THEME4,0.658174001827025,1.78074405244393e-13,98
