measure_id,column,n,mean,std,min,p25,median,p75,max
DIABETES,diabetes_pct,98,11.818367346938778,4.155169353770122,2.8,9.1,10.7,13.875,25.3
OBESITY,obesity_pct,98,30.389795918367344,5.573880356265512,21.7,26.4,28.9,33.55,48.2
ACCESS2,uninsured_pct,98,10.141836734693877,4.894704133079878,3.2,6.825,8.7,12.674999999999999,27.7
FOODINSECU,food_insecurity_pct,98,14.922448979591838,10.161018402286105,2.9,7.45,11.350000000000001,19.625,50.6
HOUSINSECU,housing_insecurity_pct,98,11.774489795918367,7.101841074272551,2.3,6.85,9.7,15.9,36.0
MHLTH,mental_distress_pct,98,14.896938775510206,3.090072367004747,7.4,12.725,14.4,17.0,22.8
DEPRESSION,depression_pct,98,21.376530612244895,2.0786494931921724,16.3,20.125,21.15,22.2,29.4
CSMOKING,smoking_pct,98,10.83265306122449,4.120748993829298,4.3,8.1,9.850000000000001,12.9,25.8
BPHIGH,high_blood_pressure_pct,98,32.57857142857143,7.134947387809116,12.3,28.0,31.7,36.05,50.4
CHD,coronary_heart_disease_pct,98,5.573469387755101,1.6401251536610817,1.2,4.4,5.35,6.5,9.7
STROKE,stroke_pct,98,3.3979591836734686,1.2682465850057347,0.8,2.525,3.1,3.9,7.8
GHLTH,fair_poor_health_pct,98,16.401020408163266,6.457018795972177,8.7,11.425,14.5,19.175,38.9
LPA,physical_inactivity_pct,98,21.1530612244898,7.079201482164418,12.0,15.8,19.25,25.375,43.9
SHUTUTILITY,utility_shutoff_threat_pct,98,8.172448979591836,5.3972650693966155,1.6,4.525,6.4,10.275,29.3
LACKTRPT,transportation_barrier_pct,98,7.944897959183675,4.640678995133372,2.0,4.525,6.35,10.4,24.6
LONELINESS,loneliness_pct,98,30.432653061224492,4.236872400021353,20.8,27.525,29.7,34.175000000000004,38.8
