year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019002002,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.4,2.1,2.6,6128,5079,"{'type': 'Point', 'coordinates': [-79.9611767, 32.7340159]}",45019002002,HLTHOUT,STROKE,CrdPrv,Stroke,45019002002
2023,SC,South Carolina,Charleston,45019,45019002104,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.6,3.0,4.2,2012,1952,"{'type': 'Point', 'coordinates': [-80.0573024, 32.6121375]}",45019002104,HLTHOUT,STROKE,CrdPrv,Stroke,45019002104
2023,SC,South Carolina,Charleston,45019,45019002503,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.8,5.2,6.4,2382,1931,"{'type': 'Point', 'coordinates': [-80.2361945, 32.6960652]}",45019002503,HLTHOUT,STROKE,CrdPrv,Stroke,45019002503
2023,SC,South Carolina,Charleston,45019,45019002612,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,32.1,27.9,36.3,6677,5472,"{'type': 'Point', 'coordinates': [-80.0204648, 32.8174841]}",45019002612,HLTHOUT,OBESITY,CrdPrv,Obesity,45019002612
2023,SC,South Carolina,Charleston,45019,45019003104,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.4,3.1,3.7,5741,4345,"{'type': 'Point', 'coordinates': [-80.0392057, 32.9290256]}",45019003104,HLTHOUT,STROKE,CrdPrv,Stroke,45019003104
2023,SC,South Carolina,Charleston,45019,45019003111,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.2,2.8,3.6,5102,3827,"{'type': 'Point', 'coordinates': [-80.02956, 32.8740625]}",45019003111,HLTHOUT,STROKE,CrdPrv,Stroke,45019003111
2023,SC,South Carolina,Charleston,45019,45019004300,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,7.8,6.9,8.7,2144,1600,"{'type': 'Point', 'coordinates': [-79.9649043, 32.8492682]}",45019004300,HLTHOUT,STROKE,CrdPrv,Stroke,45019004300
2023,SC,South Carolina,Charleston,45019,45019004400,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,39.3,34.6,44.0,2240,1755,"{'type': 'Point', 'coordinates': [-79.9619676, 32.830558]}",45019004400,HLTHOUT,OBESITY,CrdPrv,Obesity,45019004400
2023,SC,South Carolina,Charleston,45019,45019004616,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.6,2.3,3.0,9300,7122,"{'type': 'Point', 'coordinates': [-79.8042765, 32.91292]}",45019004616,HLTHOUT,STROKE,CrdPrv,Stroke,45019004616
2023,SC,South Carolina,Charleston,45019,45019005002,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.5,5.0,6.1,3111,2576,"{'type': 'Point', 'coordinates': [-79.4854865, 33.0606513]}",45019005002,HLTHOUT,STROKE,CrdPrv,Stroke,45019005002
2023,SC,South Carolina,Charleston,45019,45019005601,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,26.0,22.3,29.9,10428,8215,"{'type': 'Point', 'coordinates': [-80.0758621, 32.7953702]}",45019005601,HLTHOUT,OBESITY,CrdPrv,Obesity,45019005601
2022,SC,South Carolina,Charleston,45019,45019003111,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,37.8,33.6,42.0,5102,3827,"{'type': 'Point', 'coordinates': [-80.02956, 32.8740625]}",45019003111,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,45019003111
2022,SC,South Carolina,Charleston,45019,45019002004,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,6.0,4.8,7.4,1595,1392,"{'type': 'Point', 'coordinates': [-79.935967, 32.6590742]}",45019002004,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,45019002004
2023,SC,South Carolina,Charleston,45019,45019002104,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,18.6,16.9,20.4,2012,1952,"{'type': 'Point', 'coordinates': [-80.0573024, 32.6121375]}",45019002104,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,45019002104
2023,SC,South Carolina,Charleston,45019,45019003113,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,31.0,27.0,35.2,4771,3746,"{'type': 'Point', 'coordinates': [-80.0729838, 32.9546311]}",45019003113,HLTHOUT,OBESITY,CrdPrv,Obesity,45019003113
2022,SC,South Carolina,Charleston,45019,45019004615,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,78.8,76.5,80.9,5406,3856,"{'type': 'Point', 'coordinates': [-79.8343871, 32.8893843]}",45019004615,PREVENT,DENTAL,CrdPrv,Dental Visit,45019004615
