county,lbw_count_2023,lbw_pct_2023,source,source_url
South Carolina,5768,10.0,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Abbeville,23,9.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Aiken,196,10.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Allendale,9,12.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Anderson,218,9.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Bamberg,22,17.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Barnwell,30,12.1,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Beaufort,168,8.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Berkeley,320,10.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Calhoun,14,11.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Charleston,442,9.1,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Cherokee,64,10.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Chester,33,9.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Chesterfield,51,10.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Clarendon,34,12.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Colleton,61,13.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Darlington,83,11.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Dillon,58,16.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Dorchester,187,9.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Edgefield,31,14.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Fairfield,22,12.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Florence,226,14.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Georgetown,54,10.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Greenville,554,8.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Greenwood,87,11.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Hampton,24,11.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Horry,286,8.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Jasper,57,12.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Kershaw,64,8.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lancaster,122,9.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Laurens,71,9.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lee,26,15.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
Lexington,304,9.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
McCormick,8,14.0,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf
