county,maternity_access_flag,high_need_mvi_tertile,source,source_url
Abbeville,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Allendale,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Bamberg,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Barnwell,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Calhoun,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Chester,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Chesterfield,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Clarendon,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Colleton,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Dillon,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Edgefield,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Fairfield,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Greenwood,low_access,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Hampton,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Jasper,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
