fips,state,county_name,drug_overdose_death_rate,suicide_death_rate,median_household_income,income_inequality_ratio,unemployment_pct,child_poverty_pct,hs_completion_pct,broadband_access_pct,uninsured_pct,pop_per_pcp,pop_per_mental_health_provider,pm25,drinking_water_violation,severe_housing_problems_pct,food_environment_index,long_commute_pct,premature_death_rate,life_expectancy,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct,lung_cancer_death_rate,lung_cancer_avg_annual_count,county,infant_deaths_2023,imr_2023,infant_deaths_2021_2023,imr_2021_2023,infant_deaths_2018_2020,imr_2018_2020,source_x,source_url_x,lbw_count_2023,lbw_pct_2023,source_lbw,source_url_lbw,maternity_access_flag,high_need_mvi_tertile,source_y,source_url_y
45001,SC,Abbeville County,36.956432472,20.399608461,51580.0,4.6178231919,0.0366962886,0.22,0.8619489559,0.8007550336,0.1156614406,0.0005350014,0.0006138987,8.3,0.0,0.1315649867,7.8,0.392,12940.608788,72.885333031,338.5,86.6,13.2,42.4,17,Abbeville,0,0.0,2,4.0,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,23,9.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45003,SC,Aiken County,49.631050112,21.357318102,67769.0,4.6703645008,0.0298714785,0.177,0.8982674914,0.896758301,0.1065518543,0.0003396262,0.0017162536,9.8,0.0,0.1230964467,7.8,0.353,12448.581563,73.543142124,338.3,83.3,11.3,34.6,91,Aiken,8,6.5,17,4.5,16,4.3,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,196,10.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45007,SC,Anderson County,35.27467536,18.17497404,64813.0,4.4597974556,0.0276460038,0.184,0.8782062504,0.872074902,0.1154502787,0.000657297,0.0019054234,8.8,0.0,0.1206316991,7.3,0.364,11472.167556,73.227205953,380.5,78.6,11.1,38.7,111,Anderson,10,5.6,29,5.3,24,4.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,218,9.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45011,SC,Barnwell County,59.871518957,14.079315694,46482.0,7.4133727373,0.0433420366,0.458,0.8081591611,0.7391143456,0.1266057391,0.0002429543,0.0020051841,8.6,0.0,0.1659600242,7.8,0.446,17191.10889,69.574615302,383.2,88.5,15.9,37.4,11,Barnwell,0,0.0,2,5.0,1,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,30,12.1,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45013,SC,Beaufort County,22.61145133,12.545967057,82199.0,4.2612638214,0.0278522229,0.14,0.9419221251,0.9087874711,0.1101792419,0.0006936187,0.0019901598,8.7,1.0,0.1361559965,7.7,0.348,7369.344919,80.553023831,186.9,62.4,9.3,24.4,90,Beaufort,8,6.2,18,4.6,11,2.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,168,8.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45015,SC,Berkeley County,33.574578054,14.942726462,82414.0,3.835415535,0.0268793896,0.126,0.9056468147,0.8738433612,0.096691424,0.0003295297,0.0016064761,8.0,0.0,0.1226734852,8.2,0.487,9014.7316436,76.681691325,257.8,80.2,11.9,35.0,91,Berkeley,6,3.1,24,4.1,19,3.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,320,10.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45017,SC,Calhoun County,27.97333209,27.194058303,58916.0,5.1809124972,0.0325757576,0.243,0.8830028329,0.7852710647,0.1069074233,0.0002117896,0.0002114761,7.8,0.0,0.1545768566,8.6,0.447,14694.97339,72.538220389,325.2,81.6,12.9,35.7,9,Calhoun,0,0.0,0,0.0,2,9.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,14,11.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45019,SC,Charleston County,37.59145922,15.370666599,88111.0,4.9573639001,0.024340036,0.142,0.9290229789,0.8618795549,0.0967336758,0.0012396374,0.0046681292,7.1,0.0,0.1691042864,8.4,0.342,8317.4061474,77.8945433,254.6,74.0,10.0,28.7,156,Charleston,14,4.3,53,5.2,33,3.3,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,442,9.1,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_but_ob_closed_2020_mtpleasant,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45021,SC,Cherokee County,24.190360436,22.670754858,57768.0,4.5438653891,0.0419143749,0.235,0.8550735944,0.7895627516,0.114937418,0.000338971,0.0008639842,8.1,1.0,0.105313093,7.7,0.36,14798.164785,70.637748503,510.8,83.3,12.9,50.2,38,Cherokee,2,4.6,6,4.4,11,7.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,64,10.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45023,SC,Chester County,37.355248412,22.421911932,51383.0,4.562302494,0.0393740902,0.308,0.8438872864,0.8010211976,0.1098438183,0.000279425,0.0005585552,7.5,0.0,0.1219415943,7.5,0.523,17890.32013,68.564153038,410.6,93.4,13.7,63.4,29,Chester,1,5.1,6,10.7,6,10.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,33,9.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45025,SC,Chesterfield County,30.930090452,20.24471717,50962.0,4.9241158521,0.0320785597,0.3,0.8197440346,0.798860825,0.1242403978,0.000300453,0.0013853876,7.1,1.0,0.1448938027,7.7,0.377,14470.278274,70.935042736,487.8,118.7,14.8,57.2,36,Chesterfield,0,0.0,5,5.5,7,8.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,51,10.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45027,SC,Clarendon County,27.267388204,16.891546076,47675.0,5.398679345,0.0397427441,0.297,0.8192989436,0.8382291405,0.1282242294,0.0003223311,0.0011933944,7.5,0.0,0.1251618472,7.7,0.488,15443.452088,71.196317529,331.4,91.6,15.0,47.6,25,Clarendon,0,0.0,3,7.0,1,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,34,12.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45029,SC,Colleton County,32.302561506,20.550391478,48504.0,4.6769167504,0.0310547593,0.336,0.8556559745,0.8207039078,0.1349934907,0.000415995,0.0015177239,8.1,0.0,0.1268260292,6.7,0.507,17986.455823,68.643774009,452.7,100.8,13.8,53.9,31,Colleton,1,3.9,6,7.7,6,7.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,61,13.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45031,SC,Darlington County,30.26160637,13.243732503,46249.0,5.2412490922,0.0327368248,0.301,0.8651815487,0.7532902608,0.1119437064,0.0005417895,0.0015861318,7.4,0.0,0.131933439,7.6,0.288,15869.313812,69.889684611,558.8,190.0,14.5,42.2,38,Darlington,1,2.8,4,3.6,9,8.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,83,11.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45033,SC,Dillon County,68.451828476,8.527264353,45269.0,5.269399173,0.0437816286,0.346,0.8162891046,0.6455086427,0.131824417,0.0003916403,0.0016607697,7.0,0.0,0.1652932622,7.3,0.372,19641.47227,67.190699761,478.0,145.5,17.3,65.3,25,Dillon,2,13.5,5,10.5,3,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,58,16.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45035,SC,Dorchester County,30.290975107,17.118664712,78329.0,3.9582011312,0.0255300322,0.128,0.9126350946,0.8856479301,0.1039078936,0.0003183797,0.0014955868,8.1,0.0,0.1478208648,8.3,0.534,8693.3282073,76.443565613,272.6,84.3,11.4,34.6,64,Dorchester,4,3.3,12,3.2,14,3.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,187,9.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45037,SC,Edgefield County,37.404151861,17.43916905,62851.0,5.6617372826,0.0308077404,0.224,0.8181077917,0.7765039966,0.1254641494,0.0003441288,0.0006520085,6.7,0.0,0.1247252747,7.4,0.422,11214.050883,74.552053995,312.7,76.0,13.6,34.8,14,Edgefield,0,0.0,1,2.8,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,31,14.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45039,SC,Fairfield County,37.972280235,12.170775001,48123.0,6.183720813,0.0398815191,0.331,0.8456878583,0.8105551123,0.098282889,0.0004349928,0.0011752032,7.2,0.0,0.1757990868,7.6,0.589,18564.288145,68.796028196,398.1,78.1,15.4,44.6,16,Fairfield,0,0.0,0,0.0,3,14.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,22,12.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45041,SC,Florence County,42.111617695,11.626512354,56144.0,5.4759703405,0.0297079482,0.28,0.8773306846,0.8070142036,0.1054056058,0.000988982,0.0030098969,6.7,0.0,0.1486773508,8.0,0.264,14826.579901,70.797414211,424.8,161.8,13.2,40.2,74,Florence,4,5.7,14,6.3,20,8.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,226,14.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45043,SC,Georgetown County,57.292860268,14.575879175,69379.0,4.9339812815,0.0325172583,0.228,0.9191401202,0.8424397398,0.1183726614,0.0006257724,0.0009584519,6.9,1.0,0.1339042429,7.7,0.392,13427.806439,73.473100932,323.5,93.1,11.6,33.0,43,Georgetown,5,16.6,8,9.0,7,7.7,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,54,10.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,low_access_ob_closed_2020,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45045,SC,Greenville County,45.221679149,16.264029278,76281.0,4.3947948963,0.026473737,0.146,0.9049247122,0.9108001891,0.1041843737,0.0011164519,0.0031144944,8.1,0.0,0.1283030804,7.9,0.31,9141.6446121,76.057191002,289.5,74.7,10.7,28.9,193,Greenville,23,5.4,66,4.8,51,3.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,554,8.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45047,SC,Greenwood County,50.099722304,17.266525974,56726.0,5.2925897992,0.0352314352,0.237,0.8887697553,0.8021245949,0.1155625797,0.0011698271,0.0040742874,8.3,0.0,0.1413975552,8.2,0.204,13119.147122,72.874593819,324.8,92.7,13.0,39.5,40,Greenwood,3,7.7,5,4.0,6,4.2,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,87,11.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,low_access,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45049,SC,Hampton County,29.440989217,12.15713482,44774.0,4.4806253547,0.0279832347,0.321,0.8250075919,0.7967342342,0.1342380768,0.000330033,0.0012691756,8.4,0.0,0.1214128035,7.9,0.49,16171.51445,70.334427519,355.9,90.1,17.1,41.5,11,Hampton,0,0.0,1,3.8,3,11.6,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,24,11.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45051,SC,Horry County,56.277145645,17.285621581,68684.0,4.0943402671,0.0341667509,0.198,0.9137813323,0.9154394647,0.1468572805,0.0006236682,0.0018038734,7.0,1.0,0.142114256,7.6,0.294,11747.017574,74.58429366,323.5,89.3,10.9,38.2,247,Horry,12,4.8,28,3.8,35,4.8,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,286,8.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45053,SC,Jasper County,51.090462049,11.860337947,61816.0,5.0587613891,0.0263961606,0.292,0.9016481308,0.8239935588,0.15877474,0.0002308403,0.0010732173,8.7,0.0,0.1840324763,8.2,0.529,12831.829255,74.06850805,291.0,69.0,13.2,36.8,18,Jasper,0,0.0,3,4.6,4,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,57,12.6,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45055,SC,Kershaw County,46.187541283,16.413895561,69277.0,4.7820372399,0.029668585,0.178,0.8915867715,0.8876995015,0.101335052,0.0005746257,0.002002718,7.5,0.0,0.1449799197,7.5,0.528,12077.29598,73.182869011,313.6,59.6,12.1,51.3,49,Kershaw,2,3.9,9,5.8,9,5.7,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,64,8.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,low_access_ob_closed_2025,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45057,SC,Lancaster County,54.276923479,14.148057392,74417.0,4.9708271068,0.0328040443,0.137,0.8904150943,0.8701663096,0.0955908025,0.000408627,0.0006653421,7.3,0.0,0.1121737942,8.2,0.503,11214.386636,75.316871063,323.1,77.0,11.3,37.3,57,Lancaster,3,3.6,9,3.8,13,5.9,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,122,9.9,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45059,SC,Laurens County,48.6125774,21.228929766,56237.0,4.5795143639,0.0315555125,0.24,0.8371655209,0.8386139744,0.1272747867,0.0005014527,0.0008711687,8.3,0.0,0.1536787975,7.5,0.407,13903.664161,71.529973597,332.3,92.9,13.0,46.7,46,Laurens,6,11.9,11,7.2,4,2.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,71,9.5,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,low_access_ob_closed_2023,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45061,SC,Lee County,28.493507551,14.821442931,46256.0,4.9521359616,0.0390684848,0.338,0.8102245662,0.807435653,0.1145477432,0.0001228501,0.0011899543,7.4,0.0,0.1661392405,7.7,0.399,17807.772983,68.753542545,527.8,123.4,16.9,56.9,13,Lee,0,0.0,1,6.5,1,7.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,26,15.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45063,SC,Lexington County,35.098142769,16.393783302,76559.0,4.1598464331,0.0245331075,0.144,0.9151490424,0.91039747,0.1036716719,0.0006297124,0.0021096637,7.8,1.0,0.120383155,8.1,0.373,8865.3864156,76.101700985,308.6,81.4,10.5,38.4,147,Lexington,11,5.0,33,4.7,33,4.5,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,304,9.7,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45067,SC,Marion County,32.039545954,11.960970487,40171.0,5.3331467749,0.0444514254,0.359,0.8399801833,0.6553274516,0.1242427067,0.0003821568,0.0018240494,7.0,0.0,0.1613646842,7.9,0.47,18732.168126,68.205715863,490.9,135.0,17.7,50.9,22,Marion,4,33.6,5,15.3,0,0.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,60,18.4,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45069,SC,Marlboro County,26.922386605,13.040760034,42308.0,5.3836455331,0.0718762502,0.356,0.8153138871,0.6506321307,0.1169662921,0.0001137139,0.0032679739,7.4,0.0,0.1607717042,6.5,0.359,17178.059449,69.109828814,656.8,112.7,17.4,57.7,22,Marlboro,0,0.0,0,0.0,1,3.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,33,12.8,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45071,SC,Newberry County,33.133370536,15.741381081,57325.0,4.5563193868,0.0288461538,0.283,0.8627059411,0.832260184,0.120646983,0.000657964,0.0007469414,7.9,0.0,0.1354476379,7.1,0.35,12999.515428,72.498705755,325.5,83.5,13.1,43.7,26,Newberry,1,4.3,5,6.9,3,4.1,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,39,9.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,low_access,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
45073,SC,Oconee County,30.49315366,19.393612639,67161.0,4.7843704218,0.0276588001,0.201,0.8713770901,0.8256916174,0.1330321871,0.0005176572,0.0012065845,8.2,0.0,0.1193891717,7.1,0.293,10455.882264,75.031404572,343.3,84.9,11.4,35.8,50,Oconee,6,10.8,16,9.2,20,11.0,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,56,8.3,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
45075,SC,Orangeburg County,39.777405638,11.209984081,50959.0,6.450367893,0.0441722568,0.291,0.833144516,0.776216545,0.1105257894,0.0004821485,0.002330355,8.1,0.0,0.1625990984,6.9,0.432,16384.898539,70.086755258,320.0,90.5,15.7,33.9,42,Orangeburg,1,3.9,4,5.0,3,3.4,"SC DPH VMS 2023, Table F-3",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,105,13.2,"SC DPH VMS 2023, Table C-27",https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,full_access_or_not_flagged,False,,
