tract_fips,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019001500,0.1026,0.2504,0.0093,0.575,0.3344,1450,163,20,180,49,86
45019002200,0.6615,0.7016,0.4165,0.6257,0.627,2302,404,88,230,300,259
45019002802,0.0248,0.1248,0.0541,0.1496,0.063,2443,150,50,151,177,21
45019003300,0.9861,0.9618,0.742,0.8904,0.9947,3458,1308,140,550,894,471
45019004615,0.0007,0.0037,0.0419,0.0309,0.0161,5979,218,30,268,0,0
45019005300,0.7254,0.7469,0.1606,0.7011,0.8841,3644,1522,226,610,220,172
45019001902,0.3576,0.6592,0.0311,0.5092,0.4122,5380,1187,247,1036,599,58
45019002401,0.41,0.359,0.2371,0.6659,0.5422,1425,443,17,61,92,92
45019003000,0.0672,0.212,0.0623,0.1009,0.1449,3690,472,121,390,59,42
45019003500,0.0046,0.1141,0.0495,0.1372,0.0061,3254,156,19,326,203,56
45019004617,0.0693,0.0529,0.1946,0.1537,0.2049,9219,519,206,274,254,29
45019005500,0.9101,0.9792,0.3926,0.8131,0.8724,1521,674,76,298,312,319
45019002002,0.1124,0.2008,0.06,0.3042,0.2587,6066,562,28,540,463,205
45019002402,0.5297,0.4154,0.6782,0.7732,0.4104,2718,1091,0,337,163,63
45019003104,0.9699,0.9111,0.7432,0.8468,0.991,5451,2572,72,952,1494,968
45019003600,0.3273,0.4743,0.017,0.4773,0.7144,3052,496,66,366,326,193
45019004618,0.1608,0.3378,0.1428,0.2895,0.1481,7141,414,113,707,253,505
45019005601,0.1845,0.1514,0.0695,0.4856,0.5078,9135,640,46,1133,407,164
45019002005,0.0084,0.025,0.0595,0.0759,0.063,6455,84,46,359,253,65
45019002504,0.6701,0.561,0.8183,0.611,0.5611,4604,957,66,452,640,322
45019003106,0.8962,0.8512,0.9063,0.6549,0.7997,9178,3074,258,1234,1328,813
45019003800,0.6159,0.8463,0.3696,0.9268,0.1909,3763,1297,102,516,646,408
45019004620,0.3635,0.6412,0.0892,0.1372,0.4261,4601,880,181,782,365,175
45019005701,0.0332,0.1774,0.1213,0.2787,0.0181,5501,481,115,333,358,76
