county,imr_2021_2023,predicted_imr,residual,uninsured_pct,child_poverty_pct,maternity_access_flag,high_need_mvi_tertile
Marion,15.3,6.137558821414408,9.162441178585592,0.1242427067,0.359,desert_or_low,False
Chester,10.7,5.14980889423781,5.550191105762189,0.1098438183,0.308,desert_or_low,False
Saluda,11.8,7.142070507781095,4.657929492218906,0.1405082212,0.244,desert_or_low,False
Dillon,10.5,6.631962010929331,3.868037989070669,0.131824417,0.346,desert_or_low,False
Georgetown,9.0,5.663825032479188,3.3361749675208117,0.1183726614,0.228,low_access_ob_closed_2020,False
Oconee,9.2,6.618570663164319,2.58142933683568,0.1330321871,0.201,full_access_or_not_flagged,False
Pickens,7.8,5.450469367474767,2.3495306325252328,0.1156609266,0.176,full_access_or_not_flagged,False
Sumter,6.8,4.865122603958813,1.9348773960411867,0.1062217333,0.239,full_access_or_not_flagged,False
Florence,6.3,4.83743447239689,1.4625655276031102,0.1054056058,0.28,full_access_or_not_flagged,False
Kershaw,5.8,4.501731829130049,1.2982681708699504,0.101335052,0.178,low_access_ob_closed_2025,False
Newberry,6.9,5.850107615279662,1.049892384720338,0.120646983,0.283,low_access,False
Charleston,5.2,4.173379328168053,1.0266206718319468,0.0967336758,0.142,full_access_but_ob_closed_2020_mtpleasant,False
Lee,6.5,5.481093607331535,1.0189063926684652,0.1145477432,0.338,desert_or_low,True
Laurens,7.2,6.261910286843306,0.9380897131566943,0.1272747867,0.24,low_access_ob_closed_2023,True
Colleton,7.7,6.835673342902482,0.8643266570975179,0.1349934907,0.336,desert_or_low,False
Clarendon,7.0,6.361622364378584,0.6383776356214161,0.1282242294,0.297,desert_or_low,False
York,4.2,3.627637585710607,0.572362414289393,0.0887180823,0.12,full_access_or_not_flagged,False
Greenville,4.8,4.670054701287427,0.1299452987125731,0.1041843737,0.146,full_access_or_not_flagged,False
Lexington,4.7,4.634765193925806,0.0652348060741943,0.1036716719,0.144,full_access_or_not_flagged,False
Richland,4.2,4.16635296297939,0.03364703702060989,0.0960735626,0.199,full_access_or_not_flagged,False
Berkeley,4.1,4.160261774512338,-0.060261774512338384,0.096691424,0.126,full_access_or_not_flagged,False
Anderson,5.3,5.44165795773364,-0.14165795773364032,0.1154502787,0.184,full_access_or_not_flagged,False
Orangeburg,5.0,5.184073791230067,-0.18407379123006695,0.1105257894,0.291,full_access_or_not_flagged,False
Lancaster,3.8,4.094365530670654,-0.2943655306706541,0.0955908025,0.137,full_access_or_not_flagged,False
Aiken,4.5,4.847041757145941,-0.34704175714594143,0.1065518543,0.177,full_access_or_not_flagged,False
Spartanburg,5.5,5.932178810123804,-0.432178810123804,0.122720671,0.197,full_access_or_not_flagged,False
Beaufort,4.6,5.063738801851178,-0.46373880185117855,0.1101792419,0.14,full_access_or_not_flagged,False
Chesterfield,5.5,6.099366908413322,-0.5993669084133222,0.1242403978,0.3,desert_or_low,False
Cherokee,4.4,5.440528357815769,-1.0405283578157682,0.114937418,0.235,full_access_or_not_flagged,False
Union,4.2,5.391101859477227,-1.191101859477227,0.1130934971,0.348,desert_or_low,False
Barnwell,5.0,6.358092218458643,-1.3580922184586433,0.1266057391,0.458,desert_or_low,True
Dorchester,3.2,4.640114739008249,-1.4401147390082487,0.1039078936,0.128,full_access_or_not_flagged,False
Abbeville,4.0,5.478871370201492,-1.4788713702014924,0.1156614406,0.22,desert_or_low,True
Greenwood,4.0,5.483275695374458,-1.4832756953744584,0.1155625797,0.237,low_access,True
Williamsburg,3.6,5.1501477847508506,-1.5501477847508505,0.1097711518,0.316,desert_or_low,True
Darlington,3.6,5.284550865578928,-1.6845508655789279,0.1119437064,0.301,full_access_or_not_flagged,False
Hampton,3.8,6.77590684065814,-2.9759068406581406,0.1342380768,0.321,desert_or_low,False
Edgefield,2.8,6.131521432199787,-3.3315214321997875,0.1254641494,0.224,desert_or_low,False
Horry,3.8,7.533453939617579,-3.733453939617579,0.1468572805,0.198,full_access_or_not_flagged,False
Jasper,4.6,8.384369954688832,-3.7843699546888327,0.15877474,0.292,desert_or_low,False
Fairfield,0.0,4.3979692130941315,-4.3979692130941315,0.098282889,0.331,desert_or_low,False
Calhoun,0.0,4.913173354434667,-4.913173354434667,0.1069074233,0.243,desert_or_low,False
Marlboro,0.0,5.653085851186977,-5.653085851186977,0.1169662921,0.356,desert_or_low,False
