outcome,outcome_label,predictor,pearson_r,approx_p_value,n_counties,ols_slope,ols_r_squared
lbw_pct_2023,Low birthweight percent of live births (2023),broadband_access_pct,-0.705,0.0,43,-25.648,0.498
lbw_pct_2023,Low birthweight percent of live births (2023),child_poverty_pct,0.646,0.0,43,20.1703,0.417
lbw_pct_2023,Low birthweight percent of live births (2023),median_household_income,-0.599,0.0,43,-0.0001,0.358
lbw_pct_2023,Low birthweight percent of live births (2023),income_inequality_ratio,0.553,0.0,43,1.9561,0.305
lbw_pct_2023,Low birthweight percent of live births (2023),unemployment_pct,0.488,0.0003,43,142.434,0.238
lbw_pct_2023,Low birthweight percent of live births (2023),severe_housing_problems_pct,0.443,0.0015,43,50.3376,0.196
lbw_pct_2023,Low birthweight percent of live births (2023),pm25,-0.348,0.0174,43,-1.2919,0.121
lbw_pct_2023,Low birthweight percent of live births (2023),uninsured_pct,0.182,0.2365,43,30.9401,0.033
lbw_pct_2023,Low birthweight percent of live births (2023),food_environment_index,-0.045,0.7715,43,-0.2331,0.002
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",uninsured_pct,0.337,0.0221,43,67.8601,0.113
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",broadband_access_pct,-0.226,0.138,43,-9.7191,0.051
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",child_poverty_pct,0.162,0.2931,43,5.9931,0.026
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",median_household_income,-0.146,0.343,43,-0.0,0.021
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",income_inequality_ratio,-0.108,0.4851,43,-0.4546,0.012
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",food_environment_index,-0.099,0.5225,43,-0.6056,0.01
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",unemployment_pct,-0.086,0.5806,43,-29.7338,0.007
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",pm25,-0.058,0.7081,43,-0.2566,0.003
imr_2021_2023,"3-year average infant mortality rate per 1,000 live births (2021-2023)",severe_housing_problems_pct,0.026,0.8661,43,3.5433,0.001
