tract_fips,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,uninsured_pct,depression_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP,food_insecurity_pct_pctile,housing_insecurity_pct_pctile,transportation_barrier_pct_pctile,uninsured_pct_pctile,depression_pct_pctile,RPL_THEMES_pctile,neonatal_risk_proxy_score
45019003400,37.1,27.0,18.1,24.0,22.5,0.9913,0.9724,0.9395,0.8268,0.9732,4932,2470,171,925,1488,588,0.9693877551020408,0.9591836734693877,0.9693877551020408,0.9795918367346939,0.8112244897959183,1.0,0.9481292517006802
45019005500,47.2,33.2,23.6,20.6,21.9,0.9101,0.9792,0.3926,0.8131,0.8724,1521,674,76,298,312,319,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9591836734693877,0.6581632653061225,0.9183673469387755,0.9175170068027211
45019004300,50.6,36.0,24.6,21.5,21.2,0.8631,0.9057,0.3443,0.9127,0.8605,2198,1210,30,496,401,466,1.0,1.0,1.0,0.9693877551020408,0.5306122448979592,0.8979591836734694,0.8996598639455783
45019003104,31.9,24.2,15.4,26.5,21.7,0.9699,0.9111,0.7432,0.8468,0.991,5451,2572,72,952,1494,968,0.9285714285714286,0.9387755102040817,0.9285714285714286,0.9897959183673469,0.6173469387755102,0.9795918367346939,0.8971088435374152
45019003105,36.9,27.4,17.2,27.7,21.3,0.9227,0.9144,0.8233,0.852,0.8137,3628,1492,67,632,1086,466,0.9591836734693877,0.9693877551020408,0.9591836734693877,1.0,0.5663265306122449,0.9285714285714286,0.8971088435374149
45019003116,25.8,20.0,13.3,15.1,23.8,0.8571,0.9099,0.4069,0.7282,0.8612,4930,1588,258,1126,622,457,0.8673469387755102,0.8673469387755102,0.8673469387755102,0.8877551020408163,0.9183673469387755,0.8877551020408163,0.8826530612244897
45019003115,24.7,17.9,13.0,14.8,24.0,0.9433,0.8199,0.9296,0.6716,0.955,8255,2987,84,1331,1403,522,0.8469387755102041,0.8214285714285714,0.8571428571428571,0.8724489795918368,0.9336734693877551,0.9591836734693877,0.8818027210884353
45019005400,30.8,23.2,15.6,14.3,22.1,0.796,0.7034,0.3172,0.8413,0.9431,2482,966,38,394,69,264,0.9081632653061225,0.9081632653061225,0.9489795918367347,0.8571428571428571,0.6938775510204082,0.8469387755102041,0.8605442176870749
45019003110,28.8,21.9,13.6,20.5,20.9,0.9278,0.7762,0.9541,0.7911,0.8971,7014,2311,36,1202,1105,977,0.8877551020408163,0.8979591836734694,0.8877551020408163,0.9489795918367347,0.42346938775510207,0.9387755102040817,0.8307823129251699
45019005300,25.2,18.7,12.9,12.7,22.8,0.7254,0.7469,0.1606,0.7011,0.8841,3644,1522,226,610,220,172,0.8571428571428571,0.8469387755102041,0.8469387755102041,0.7551020408163265,0.8469387755102041,0.826530612244898,0.8299319727891157
