fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
01001,401.0,110.7,11.4
01003,353.7,81.5,10.4
01005,575.2,93.7,16.5
01007,503.7,111.0,13.9
01009,463.6,108.2,11.3
01011,473.7,108.2,21.3
01013,425.9,138.3,15.2
01015,616.2,82.8,12.9
01017,377.3,134.2,14.5
01019,421.9,82.4,11.8
01021,481.5,103.8,12.0
01023,545.8,109.1,15.0
01025,461.4,94.0,14.9
01027,516.2,99.0,12.9
01029,534.9,83.0,11.7
01031,526.7,97.7,12.7
01033,484.8,102.2,12.1
01035,480.3,123.0,16.8
01037,453.2,96.0,13.5
01039,524.2,104.5,12.8
01041,523.4,109.7,13.4
01043,559.4,88.2,11.0
01045,427.8,82.8,13.7
01047,638.5,111.0,18.1
01049,478.6,118.4,13.3
01051,480.4,103.7,11.4
01053,432.7,103.3,15.6
01055,528.0,109.1,13.4
01057,432.2,111.7,13.1
01059,501.8,104.2,13.9
01061,432.1,93.7,13.0
01063,476.8,109.7,21.1
01065,476.3,105.8,16.3
01067,385.3,79.5,12.8
01069,374.9,74.9,13.1
01071,548.8,92.4,12.7
01073,383.5,124.9,13.5
01075,416.1,125.6,12.9
01077,373.9,99.8,11.0
01079,468.9,102.0,12.5
01081,294.6,84.3,12.7
01083,462.9,95.5,10.9
01085,468.2,117.5,19.4
01087,612.1,102.2,17.7
01089,404.6,91.8,10.9
01091,539.3,107.5,16.1
01093,494.4,109.4,12.3
01095,461.8,105.2,12.4
01097,470.1,117.1,14.1
01099,396.1,106.2,15.6
01101,330.5,109.7,14.8
01103,491.4,99.4,12.3
01105,526.2,108.1,20.5
01107,491.0,117.8,15.2
01109,461.9,105.3,14.6
01111,534.1,96.7,12.7
01113,347.0,117.6,15.3
01115,400.4,110.1,10.9
01117,304.3,95.3,9.6
01119,457.5,113.7,18.2
01121,522.7,100.5,14.2
01123,482.1,92.7,12.7
01125,441.1,113.5,12.4
01127,802.6,113.9,12.2
01129,410.5,104.9,13.3
01131,591.6,95.5,19.1
01133,466.3,92.1,12.7
02013,182.4,21.0,12.9
02016,172.6,15.3,11.4
02020,255.6,68.8,8.8
02050,343.4,91.6,14.7
02060,,,9.1
02063,,,8.0
02066,,,8.9
02068,218.6,78.6,7.7
02070,363.3,129.6,12.5
02090,283.5,100.2,8.3
02100,225.4,68.8,7.7
02105,211.5,70.1,10.4
02110,228.9,71.2,7.8
02122,260.9,68.5,7.9
02130,275.3,31.0,8.6
02150,268.2,62.2,9.3
02158,52.2,49.2,18.0
02164,277.9,69.7,12.6
02170,223.2,74.6,8.3
02180,442.1,100.2,13.7
02185,278.8,57.9,11.0
02188,404.7,73.8,14.6
02195,218.8,57.1,8.5
02198,279.5,54.1,11.0
02220,148.6,63.1,8.4
02230,,,7.8
02240,290.3,89.4,9.0
02261,273.8,69.9,
02275,265.4,,9.1
02282,,,10.6
02290,273.4,87.8,13.9
04001,272.1,76.1,15.3
04003,301.9,68.9,10.6
04005,211.1,55.5,9.8
04007,350.8,64.9,10.5
04009,294.2,70.4,10.9
04011,305.1,70.4,10.1
04012,382.4,66.4,11.5
04013,262.5,63.7,9.6
04015,383.0,74.4,9.7
04017,307.0,87.2,12.3
04019,265.0,67.8,9.5
04021,237.8,55.3,10.9
04023,222.6,68.7,13.2
04025,268.6,63.0,8.0
04027,258.5,62.2,12.9
05001,421.3,125.3,12.1
05003,473.8,111.8,14.2
05005,374.4,80.4,10.3
05007,335.5,67.1,9.8
05009,522.8,65.0,10.4
05011,534.2,116.0,14.3
05013,454.6,131.7,11.3
05015,430.4,65.5,11.4
05017,458.7,117.4,16.1
05019,445.2,99.9,12.9
05021,441.8,82.3,11.1
05023,307.8,80.3,10.7
05025,446.8,112.4,11.6
05027,436.9,111.0,13.5
05029,383.2,93.8,12.4
05031,459.6,76.2,11.2
05033,421.1,86.8,10.9
05035,454.6,95.2,14.8
05037,455.8,89.4,13.4
05039,449.4,134.4,12.7
05041,590.3,119.3,17.1
05043,410.9,110.2,13.5
05045,382.1,98.7,10.9
05047,463.2,92.2,11.7
05049,388.6,86.0,12.4
05051,434.9,79.8,11.1
05053,396.5,80.6,9.8
05055,375.4,104.1,11.0
05057,463.1,129.9,13.6
05059,462.6,80.6,11.6
05061,521.2,111.4,12.5
05063,535.8,76.0,11.4
05065,411.6,76.6,12.0
05067,459.1,85.1,13.7
05069,487.4,102.9,15.1
05071,447.7,92.9,12.4
05073,455.3,106.9,15.3
05075,444.3,87.5,12.0
05077,457.6,95.7,17.1
05079,506.9,109.6,13.5
05081,495.3,114.3,12.4
05083,456.7,92.7,11.3
05085,322.5,115.4,10.1
05087,567.2,71.7,11.3
05089,423.8,79.5,11.1
05091,525.7,118.5,13.1
05093,576.6,92.3,13.4
05095,567.9,123.5,14.3
05097,396.0,85.1,11.4
05099,449.3,112.3,14.2
05101,472.1,81.4,10.9
05103,435.4,120.9,13.9
05105,391.1,86.9,10.8
05107,330.7,128.4,17.2
05109,436.3,94.1,11.4
05111,585.0,84.9,12.1
05113,448.5,90.6,11.8
05115,419.7,89.0,11.4
05117,425.9,79.4,11.3
05119,344.0,88.0,11.5
05121,392.2,86.7,12.2
05123,482.9,84.9,16.6
05125,348.2,83.6,9.5
05127,429.5,90.0,11.7
05129,399.8,82.4,12.5
05131,431.0,91.2,11.5
05133,455.4,93.1,13.7
05135,459.1,73.4,11.7
05137,336.0,75.7,12.0
05139,412.6,121.0,13.0
05141,340.0,87.4,11.5
05143,671.6,59.6,10.7
05145,490.7,82.4,10.9
05147,507.5,89.5,13.7
05149,509.7,87.3,12.2
06001,213.4,80.3,10.1
06003,336.9,63.1,8.5
06005,312.6,73.3,8.6
06007,326.9,82.5,9.9
06009,300.0,66.8,9.1
06011,304.8,81.7,12.2
06013,200.5,86.3,9.6
06015,305.8,89.3,10.2
06017,248.4,64.9,8.0
06019,341.7,82.9,12.4
06021,316.8,74.4,11.1
06023,308.4,195.4,10.0
06025,257.7,65.2,14.6
06027,333.6,77.8,9.4
06029,383.2,76.9,13.3
06031,334.4,85.0,12.9
06033,314.4,69.1,10.7
06035,354.6,80.4,10.6
06037,292.7,68.2,11.6
06039,287.6,78.6,12.8
06041,170.1,53.8,7.5
06043,312.0,79.7,9.4
06045,278.1,66.1,10.4
06047,308.5,84.0,13.3
06049,345.4,90.5,10.3
06051,223.8,72.8,8.9
06053,213.6,72.6,11.6
06055,243.8,68.3,9.3
06057,251.3,73.7,8.0
06059,252.2,71.5,10.1
06061,235.5,90.6,7.9
06063,342.6,73.3,9.0
06065,338.7,77.3,11.3
06067,280.4,94.0,10.3
06069,230.9,78.2,10.5
06071,368.5,87.5,11.8
06073,243.1,87.5,9.4
06075,211.8,63.3,9.3
06077,304.1,99.8,11.7
06079,217.3,115.5,8.6
06081,204.4,62.1,9.0
06083,251.1,79.5,10.3
06085,182.8,60.3,9.8
06087,195.4,65.3,9.0
06089,375.7,74.6,9.4
06091,320.2,91.2,10.1
06093,310.0,85.1,9.9
06095,218.0,94.0,10.5
06097,229.9,69.4,8.6
06099,355.3,83.5,11.2
06101,284.7,99.2,11.4
06103,362.6,74.4,10.6
06105,315.7,61.5,10.7
06107,361.3,87.4,13.1
06109,302.6,73.3,8.9
06111,254.3,69.6,9.9
06113,242.3,77.8,10.1
06115,348.5,107.1,11.0
08001,266.1,75.1,9.9
08003,288.8,72.1,11.2
08005,220.9,65.4,8.0
08007,258.2,69.6,8.0
08009,296.9,67.5,10.0
08011,369.9,70.9,13.1
08013,211.5,71.6,6.7
08014,221.5,63.0,6.5
08015,206.5,39.4,7.8
08017,296.9,62.0,8.7
08019,214.5,59.1,6.8
08021,273.6,72.1,11.0
08023,224.3,56.4,12.1
08025,275.7,80.6,11.3
08027,262.1,67.1,7.8
08029,323.7,77.2,8.8
08031,264.3,69.2,7.8
08033,245.1,57.6,8.8
08035,178.3,55.4,6.0
08037,97.6,28.8,7.5
08039,206.7,63.3,6.9
08041,274.3,81.7,8.4
08043,302.5,66.7,9.3
08045,262.7,54.5,8.1
08047,232.5,64.6,7.3
08049,167.4,40.2,7.2
08051,240.9,58.1,7.1
08053,228.6,60.5,6.4
08055,268.2,71.0,9.4
08057,214.5,72.0,9.8
08059,261.0,67.7,7.2
08061,362.1,73.9,8.3
08063,273.3,57.7,9.1
08065,129.9,34.9,7.8
08067,250.0,68.2,7.5
08069,224.9,77.4,6.9
08071,261.9,72.6,10.4
08073,281.9,73.1,9.4
08075,259.5,55.3,9.8
08077,328.2,79.7,8.1
08079,226.3,70.4,7.3
08081,315.5,54.0,9.2
08083,254.0,68.3,8.9
08085,284.0,64.5,8.5
08087,253.6,58.9,9.9
08089,404.2,74.6,11.7
08091,179.9,36.7,6.6
08093,184.8,46.6,7.2
08095,282.3,51.1,9.6
08097,93.4,30.2,6.5
08099,329.6,72.7,10.8
08101,256.7,78.1,10.4
08103,274.2,54.5,8.0
08105,272.1,75.6,9.6
08107,128.5,41.6,6.8
08109,223.9,52.0,10.7
08111,215.3,58.4,7.8
08113,118.9,28.6,7.1
