fips,state,county_name,drug_overdose_death_rate,suicide_death_rate,median_household_income,income_inequality_ratio,unemployment_pct,child_poverty_pct,hs_completion_pct,broadband_access_pct,uninsured_pct,pop_per_pcp,pop_per_mental_health_provider,pm25,drinking_water_violation,severe_housing_problems_pct,food_environment_index,long_commute_pct,premature_death_rate,life_expectancy
01001,AL,Autauga County,10.857204898,15.583026865,68857.0,4.2737120382,0.0218888889,0.17,0.9027890205,0.9088043333,0.0819036072,0.0004399695,0.0003645885,9.3,0.0,0.1352093342,6.8,0.421,9938.2633823,74.800645825
01003,AL,Baldwin County,31.607684304,19.20718595,74248.0,4.3595257111,0.0227949698,0.141,0.9173139987,0.8975085057,0.1021234205,0.000626844,0.0012070673,7.8,0.0,0.1196811561,7.4,0.381,8957.1126859,76.580109234
01005,AL,Barbour County,16.159657415,14.787585791,45298.0,5.6143391098,0.0443101712,0.348,0.7781370547,0.7230176211,0.1211704165,0.0004005768,0.0002847265,8.8,0.0,0.1380638064,6.2,0.375,12738.656137,72.708991709
01007,AL,Bibb County,27.019724399,17.838850899,56025.0,5.3467271211,0.024623803,0.214,0.8034021719,0.8115176331,0.1083579882,0.0006673488,0.0003658314,8.6,1.0,0.119266055,7.3,0.535,11708.948038,72.977378514
01009,AL,Blount County,23.805205405,23.299702693,64962.0,4.6197221786,0.0214429478,0.166,0.8269620161,0.8392865268,0.1251558215,0.0002032486,0.0002842049,8.8,0.0,0.1025821596,7.4,0.614,11898.088409,72.936172299
01013,AL,Butler County,21.038605842,14.795109739,44729.0,5.2137173366,0.0291930292,0.374,0.8759495594,0.7975764252,0.1038040427,0.0002647744,0.0008704167,8.4,0.0,0.0987748851,7.0,0.342,14616.39262,71.541917066
01015,AL,Calhoun County,33.60088521,19.172999507,51841.0,4.8695115258,0.0281949934,0.285,0.8608620448,0.8533850416,0.1183334269,0.0005863484,0.0016318958,8.9,0.0,0.123715995,5.9,0.307,14259.564795,70.813154873
01017,AL,Chambers County,11.823359016,18.914350021,50390.0,5.0998743403,0.0238446411,0.26,0.836219572,0.7876145763,0.1273807243,0.0004053154,0.0001467179,8.9,0.0,0.152,6.9,0.334,12568.860637,71.861783224
01019,AL,Cherokee County,19.584290788,27.647307483,56400.0,4.5494250824,0.0239581576,0.205,0.838685626,0.8023289109,0.1325415178,0.0004400704,0.0006623549,8.4,0.0,0.0851393189,7.0,0.443,12680.903028,72.395529183
01021,AL,Chilton County,25.082070008,15.942097333,59165.0,4.012359927,0.0219287439,0.215,0.8418707516,0.8212942919,0.1318174548,0.0002208773,0.0008399561,8.9,0.0,0.1286231884,7.2,0.504,11802.63262,72.70685113
