fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
12125,99.0,20
21189,90.8,5
54043,85.5,27
13003,84.6,8
55078,84.6,4
21051,84.3,22
21131,84.0,13
47169,83.3,10
21193,83.1,33
17003,81.5,8
21147,81.4,17
29203,80.5,10
21085,79.2,29
21031,79.2,14
27087,77.7,6
21053,77.4,11
21071,77.0,41
21135,76.7,15
21169,76.1,12
29143,76.0,19
21095,76.0,29
21025,74.0,14
21039,73.9,6
21013,73.8,26
21075,73.8,7
21235,73.6,34
21121,73.5,30
29187,73.4,66
21197,73.3,13
05111,73.0,23
18143,72.8,25
21041,72.3,10
29123,71.3,14
54059,71.2,24
40115,71.1,29
40061,70.9,13
47173,70.9,21
21191,70.8,13
21207,70.7,20
47101,70.2,14
22035,70.0,6
40089,69.9,29
29223,69.9,14
47013,69.7,43
29069,69.3,26
40001,69.2,17
20061,69.0,17
29093,68.9,11
46121,68.7,3
20049,68.6,3
40099,68.5,15
39163,68.2,12
29181,68.1,11
18079,67.7,24
21203,67.4,16
21139,67.2,10
54021,67.1,7
40135,67.1,38
13201,67.1,6
47133,67.0,24
47081,67.0,24
21173,66.9,25
29055,66.9,24
21195,66.7,57
39001,66.5,27
47111,66.5,21
20095,66.5,7
39087,66.4,57
05075,66.4,15
47083,66.4,9
48083,66.4,10
21127,66.2,16
40029,66.1,5
21165,66.1,7
31087,66.0,3
21159,66.0,10
21043,66.0,27
47053,65.9,45
40127,65.8,12
05109,65.7,11
51195,65.7,34
47033,65.5,13
05067,65.5,15
21057,65.4,7
29155,65.4,14
47057,65.3,24
45033,65.3,25
21129,65.2,7
29103,65.1,4
17125,65.0,14
21119,64.9,14
29035,64.9,5
28161,64.8,13
54005,64.6,22
21219,64.6,10
28163,64.5,19
05047,64.5,17
29221,64.4,22
05079,64.4,10
47143,64.2,30
17047,64.2,6
21149,64.0,9
38079,63.9,8
29139,63.7,11
47025,63.5,32
45023,63.4,29
51105,63.3,24
29177,63.3,22
21171,63.2,10
40091,63.2,22
47041,63.2,19
18111,63.2,14
40075,63.2,8
48373,63.0,41
12133,62.8,23
47097,62.8,21
39071,62.8,40
05093,62.7,30
19071,62.6,7
51670,62.5,17
21065,62.4,13
21023,62.3,7
13283,62.2,6
29121,62.2,15
28093,62.1,29
13005,62.0,9
21105,62.0,6
48455,61.8,17
28141,61.8,18
51103,61.7,15
21087,61.5,11
05039,61.4,7
12029,61.3,18
29207,61.3,27
21137,61.3,21
51037,61.2,12
28053,61.2,6
05017,61.2,10
19147,61.1,9
29153,61.1,11
21175,61.1,12
21003,61.0,18
40067,61.0,5
17183,60.9,66
05099,60.7,8
47039,60.7,12
21237,60.7,6
40015,60.7,20
29125,60.5,9
29015,60.5,26
28137,60.5,22
21009,60.4,36
47087,60.3,13
51640,60.3,5
21205,60.2,17
39145,60.2,61
47131,60.2,29
54041,60.2,16
05065,60.1,15
