outcome,predictor,n,pearson_r,p_value
diabetes_prevalence_pct,hs_completion_pct,1846,-0.7309912565810054,2.2770614116095597e-308
diabetes_prevalence_pct,food_environment_index,1820,-0.6681597212121813,9.670869313286575e-236
diabetes_prevalence_pct,median_household_income,1846,-0.6633129831958792,1.9395604017362514e-234
diabetes_prevalence_pct,broadband_access_pct,1846,-0.6325647487493065,6.773011630082659e-207
diabetes_prevalence_pct,pop_per_pcp,1824,-0.3183620370497608,3.059742114874394e-44
diabetes_prevalence_pct,pop_per_mental_health_provider,1837,-0.24011699593882302,1.6709908621099183e-25
diabetes_prevalence_pct,long_commute_pct,1846,0.0574990820619038,0.013480182021087061
diabetes_prevalence_pct,pm25,1821,0.066901262201358,0.004288405381420835
diabetes_prevalence_pct,severe_housing_problems_pct,1846,0.20423793551670588,7.807320103140339e-19
diabetes_prevalence_pct,unemployment_pct,1837,0.30688113225878233,2.3363753987596515e-41
diabetes_prevalence_pct,uninsured_pct,1846,0.46422248822866397,2.599170455785072e-99
diabetes_prevalence_pct,income_inequality_ratio,1824,0.5197405651368552,9.369208490267643e-127
diabetes_prevalence_pct,child_poverty_pct,1846,0.8212882525168977,0.0
drug_overdose_death_rate,median_household_income,2010,-0.2729487895215626,1.1303607353246414e-35
drug_overdose_death_rate,hs_completion_pct,2010,-0.18799818582132832,1.9094531749081354e-17
drug_overdose_death_rate,food_environment_index,1979,-0.18026754367774941,6.445403569702396e-16
drug_overdose_death_rate,broadband_access_pct,2010,-0.17729892872939415,1.1713993300828568e-15
drug_overdose_death_rate,pm25,1984,-0.14527914277732618,7.953242616306926e-11
drug_overdose_death_rate,uninsured_pct,2010,-0.13414958174791822,1.561329463773945e-09
drug_overdose_death_rate,pop_per_pcp,1986,-0.04179661630888494,0.0625623800458268
drug_overdose_death_rate,severe_housing_problems_pct,2010,0.014307718568124066,0.5214628691207066
drug_overdose_death_rate,pop_per_mental_health_provider,2001,0.0921356876931437,3.664576346427759e-05
drug_overdose_death_rate,long_commute_pct,2010,0.15056278010308985,1.1633170603295539e-11
drug_overdose_death_rate,unemployment_pct,2001,0.1858693439886213,5.187876817093952e-17
drug_overdose_death_rate,income_inequality_ratio,1988,0.25069101284181877,7.225237177090831e-30
drug_overdose_death_rate,child_poverty_pct,2010,0.3071261585683342,3.636595582466722e-45
heart_disease_death_rate,median_household_income,2001,-0.590145788062571,4.359407106246512e-188
heart_disease_death_rate,food_environment_index,1979,-0.5323264858102051,3.0573982099977756e-145
heart_disease_death_rate,broadband_access_pct,2001,-0.4799346038411005,8.450991610850325e-116
heart_disease_death_rate,hs_completion_pct,2001,-0.45213973289152115,2.104943701956849e-101
heart_disease_death_rate,pop_per_pcp,1986,-0.32385779877646637,1.012184687972495e-49
heart_disease_death_rate,pop_per_mental_health_provider,1992,-0.1931527651535887,3.3965170870570168e-18
heart_disease_death_rate,severe_housing_problems_pct,2001,-0.16248113510152382,2.626230175973504e-13
heart_disease_death_rate,pm25,1984,-0.007389332272117244,0.7422059162635558
heart_disease_death_rate,long_commute_pct,2001,0.039246072354681465,0.07923269295592938
heart_disease_death_rate,unemployment_pct,2001,0.1996368632429531,1.9582597145078112e-19
heart_disease_death_rate,uninsured_pct,2001,0.23394698664490396,2.7940893931374975e-26
heart_disease_death_rate,income_inequality_ratio,1980,0.30783246062175784,1.005381563990653e-44
heart_disease_death_rate,child_poverty_pct,2001,0.570191564838197,6.426430603508318e-173
lung_cancer_death_rate,median_household_income,1987,-0.5694935971883263,3.2597303670201023e-171
lung_cancer_death_rate,broadband_access_pct,1987,-0.4689474549870838,3.418113524345779e-109
lung_cancer_death_rate,food_environment_index,1965,-0.42030110141878846,5.962871031894811e-85
lung_cancer_death_rate,hs_completion_pct,1987,-0.39740797229909836,3.623344696496132e-76
lung_cancer_death_rate,pop_per_pcp,1974,-0.37344490768731364,2.3151456214362898e-66
lung_cancer_death_rate,severe_housing_problems_pct,1987,-0.2763335749748473,3.718045186549985e-36
lung_cancer_death_rate,pop_per_mental_health_provider,1980,-0.2111442533483182,2.167460878099773e-21
lung_cancer_death_rate,pm25,1972,-0.08780575823476457,9.450679134957629e-05
lung_cancer_death_rate,uninsured_pct,1987,0.08211981766043965,0.0002478787009787853
lung_cancer_death_rate,long_commute_pct,1987,0.163168851151533,2.518900404151071e-13
lung_cancer_death_rate,income_inequality_ratio,1967,0.18013159561372008,8.289817597751249e-16
lung_cancer_death_rate,unemployment_pct,1987,0.1941587476571171,2.4897796087965013e-18
lung_cancer_death_rate,child_poverty_pct,1987,0.48653058228131907,1.3597535975795444e-118
stroke_death_rate,food_environment_index,1979,-0.3941075066270581,1.5558337336725676e-74
stroke_death_rate,median_household_income,2001,-0.3671885873673576,6.597577552541089e-65
stroke_death_rate,hs_completion_pct,2001,-0.3601254069475169,2.4978353420813586e-62
stroke_death_rate,broadband_access_pct,2001,-0.32114362579590233,3.1223578742372596e-49
stroke_death_rate,pop_per_pcp,1986,-0.19400939154946792,2.6970702999324586e-18
stroke_death_rate,pop_per_mental_health_provider,1992,-0.13525217364600306,1.3558934854617288e-09
stroke_death_rate,severe_housing_problems_pct,2001,0.00033086437347409144,0.9881987957476697
stroke_death_rate,long_commute_pct,2001,0.09494616651054602,2.0985174121606165e-05
stroke_death_rate,unemployment_pct,2001,0.14311249252437955,1.2683952504283974e-10
stroke_death_rate,pm25,1984,0.1520481933697979,9.903534088948375e-12
stroke_death_rate,uninsured_pct,2001,0.22310520053569027,5.445462490474365e-24
stroke_death_rate,income_inequality_ratio,1980,0.24058071468542544,1.8217369251931478e-27
stroke_death_rate,child_poverty_pct,2001,0.4342100094497939,8.437728379123417e-93
suicide_death_rate,median_household_income,1960,-0.329244360444949,8.95907233857208e-51
suicide_death_rate,food_environment_index,1940,-0.3013897092951983,5.0269014528032896e-42
suicide_death_rate,broadband_access_pct,1960,-0.2816487020425845,4.606754700019398e-37
suicide_death_rate,pop_per_pcp,1953,-0.15088622533137686,2.0528452183785645e-11
suicide_death_rate,pm25,1943,-0.14878427921413728,4.373831090224187e-11
suicide_death_rate,long_commute_pct,1960,-0.11809778204954172,1.5761465997106314e-07
