outcome,predictor,n,spearman_rho,p_value
diabetes_prevalence_pct,hs_completion_pct,1846,-0.7722870586196456,0.0
diabetes_prevalence_pct,median_household_income,1846,-0.7338118965706601,0.0
diabetes_prevalence_pct,food_environment_index,1820,-0.6821653643193857,1.7925329648910247e-249
diabetes_prevalence_pct,broadband_access_pct,1846,-0.6135314895745351,2.3485085727189967e-191
diabetes_prevalence_pct,pop_per_pcp,1824,-0.35958429348792614,8.591482203755465e-57
diabetes_prevalence_pct,pop_per_mental_health_provider,1837,-0.3377304774123643,3.03589440852828e-50
diabetes_prevalence_pct,long_commute_pct,1846,0.0721658485717925,0.0019185552902663118
diabetes_prevalence_pct,pm25,1821,0.1362669856666719,5.276660455018248e-09
diabetes_prevalence_pct,severe_housing_problems_pct,1846,0.14626571033977395,2.7182719666106526e-10
diabetes_prevalence_pct,unemployment_pct,1837,0.310514208372388,2.3744674366800374e-42
diabetes_prevalence_pct,income_inequality_ratio,1824,0.4798813661638723,1.0856406840222174e-105
diabetes_prevalence_pct,uninsured_pct,1846,0.5141239085591149,4.391826185167789e-125
diabetes_prevalence_pct,child_poverty_pct,1846,0.7964121078510613,0.0
drug_overdose_death_rate,median_household_income,2010,-0.23810056319512746,2.644892191393497e-27
drug_overdose_death_rate,pm25,1984,-0.20383523258526376,4.7317084473463397e-20
drug_overdose_death_rate,hs_completion_pct,2010,-0.18114137692980997,2.749091600024549e-16
drug_overdose_death_rate,broadband_access_pct,2010,-0.17085210194729197,1.2403759016642698e-14
drug_overdose_death_rate,food_environment_index,1979,-0.16383849477456552,2.2419662839386494e-13
drug_overdose_death_rate,uninsured_pct,2010,-0.0711988279344399,0.0014025430642057959
drug_overdose_death_rate,pop_per_pcp,1986,-0.06862454562866233,0.0022140729006779273
drug_overdose_death_rate,severe_housing_problems_pct,2010,0.03036816392228511,0.1735252117667197
drug_overdose_death_rate,pop_per_mental_health_provider,2001,0.04353794707673808,0.0515024617585676
drug_overdose_death_rate,long_commute_pct,2010,0.16337770332229185,1.7097504667751478e-13
drug_overdose_death_rate,unemployment_pct,2001,0.2053812718825941,1.6854547414759716e-20
drug_overdose_death_rate,income_inequality_ratio,1988,0.22974608322425882,3.1770925056928127e-25
drug_overdose_death_rate,child_poverty_pct,2010,0.2971575942160039,2.920225625360891e-42
heart_disease_death_rate,median_household_income,2001,-0.6251563657074252,2.032701638226298e-217
heart_disease_death_rate,food_environment_index,1979,-0.5696254730049133,1.2576025065587665e-170
heart_disease_death_rate,broadband_access_pct,2001,-0.5334094494455105,1.551143293103521e-147
heart_disease_death_rate,hs_completion_pct,2001,-0.5146626258007183,9.243195427025573e-136
heart_disease_death_rate,pop_per_pcp,1986,-0.3847927968148499,4.261831507437135e-71
heart_disease_death_rate,pop_per_mental_health_provider,1992,-0.31565435946385856,2.491876284201146e-47
heart_disease_death_rate,severe_housing_problems_pct,2001,-0.15489788034172827,3.243865280185814e-12
heart_disease_death_rate,long_commute_pct,2001,0.0380313989938875,0.08898181603701698
heart_disease_death_rate,pm25,1984,0.10309518803415883,4.195617436016695e-06
heart_disease_death_rate,unemployment_pct,2001,0.26044802009966816,2.1964579942337403e-32
heart_disease_death_rate,uninsured_pct,2001,0.2613227833522147,1.3418186097681725e-32
heart_disease_death_rate,income_inequality_ratio,1980,0.3179152869574718,9.646260556386709e-48
heart_disease_death_rate,child_poverty_pct,2001,0.5897344680999184,9.18003109462805e-188
lung_cancer_death_rate,median_household_income,1987,-0.5950490486027454,1.1972837071472887e-190
lung_cancer_death_rate,broadband_access_pct,1987,-0.5549332104890468,6.985151571761865e-161
lung_cancer_death_rate,food_environment_index,1965,-0.4776864822089024,1.4794575953538913e-112
lung_cancer_death_rate,hs_completion_pct,1987,-0.45926591847298465,3.019419499277787e-104
lung_cancer_death_rate,pop_per_pcp,1974,-0.43590935471391,2.351592521916698e-92
lung_cancer_death_rate,pop_per_mental_health_provider,1980,-0.3524573543211705,5.3799259929564565e-59
lung_cancer_death_rate,severe_housing_problems_pct,1987,-0.2676978950172924,5.899697367307588e-34
lung_cancer_death_rate,pm25,1972,-0.01031330168539206,0.6471631729796566
lung_cancer_death_rate,uninsured_pct,1987,0.15450617269562317,4.374625310037685e-12
lung_cancer_death_rate,long_commute_pct,1987,0.1586274732093722,1.1473462404894812e-12
lung_cancer_death_rate,income_inequality_ratio,1967,0.19579335464840197,1.90068335070635e-18
lung_cancer_death_rate,unemployment_pct,1987,0.2574418532492567,1.910030236226394e-31
lung_cancer_death_rate,child_poverty_pct,1987,0.5128189758172406,1.031996265954856e-133
stroke_death_rate,hs_completion_pct,2001,-0.44709728145531025,6.238678851236058e-99
stroke_death_rate,food_environment_index,1979,-0.4455856882428381,3.870273881933943e-97
stroke_death_rate,median_household_income,2001,-0.3906007941302412,6.292942674507289e-74
stroke_death_rate,broadband_access_pct,2001,-0.3219664416160965,1.7266168241176893e-49
stroke_death_rate,pop_per_pcp,1986,-0.23613879814378994,1.4366661520958271e-26
stroke_death_rate,pop_per_mental_health_provider,1992,-0.227118697158981,1.0154618676172035e-24
stroke_death_rate,severe_housing_problems_pct,2001,0.017696136781032008,0.4288503814839116
stroke_death_rate,long_commute_pct,2001,0.1367475519666545,8.142914321376614e-10
stroke_death_rate,unemployment_pct,2001,0.19050180139059536,8.317004003052698e-18
stroke_death_rate,pm25,1984,0.2459342273520667,1.017148159271576e-28
stroke_death_rate,income_inequality_ratio,1980,0.2541641292893374,1.4527994385435954e-30
stroke_death_rate,uninsured_pct,2001,0.2934224928414687,5.028970539441465e-41
stroke_death_rate,child_poverty_pct,2001,0.4390209825862633,4.6593655809185034e-95
suicide_death_rate,median_household_income,1960,-0.31356343138745724,5.662712974533178e-46
suicide_death_rate,broadband_access_pct,1960,-0.307779909312954,2.832374966632904e-44
suicide_death_rate,food_environment_index,1940,-0.29189367530850174,2.0643063446661317e-39
suicide_death_rate,pop_per_pcp,1953,-0.19014602586221682,2.3481607387938665e-17
suicide_death_rate,pm25,1943,-0.1644382574021394,3.0225772206830486e-13
suicide_death_rate,severe_housing_problems_pct,1960,-0.15425770956345985,6.600054787527441e-12
suicide_death_rate,pop_per_mental_health_provider,1954,-0.135522901625921,1.803336413245253e-09
suicide_death_rate,hs_completion_pct,1960,-0.09291114858948166,3.794625616028407e-05
suicide_death_rate,long_commute_pct,1960,-0.07876235535897472,0.00048273776208452993
suicide_death_rate,income_inequality_ratio,1940,-0.014554115799824343,0.5217416130749368
suicide_death_rate,unemployment_pct,1960,0.07968167499499677,0.0004139555821702394
suicide_death_rate,child_poverty_pct,1960,0.19646120912131806,1.6664886951283027e-18
suicide_death_rate,uninsured_pct,1960,0.26381367312339027,1.4470304313935242e-32
