outcome,predictor,n,std_beta,p_value,r_squared_full_model
drug_overdose_death_rate,median_household_income,1921,-0.3028872658264518,7.029080883259053e-13,0.2666251131693328
drug_overdose_death_rate,income_inequality_ratio,1921,0.054809385030417816,0.05634355705581321,0.2666251131693328
drug_overdose_death_rate,unemployment_pct,1921,0.020997642459287792,0.40022728038361993,0.2666251131693328
drug_overdose_death_rate,child_poverty_pct,1921,0.16127890300807182,0.00023833438530140798,0.2666251131693328
drug_overdose_death_rate,hs_completion_pct,1921,-0.12881371851439788,7.05902228763259e-05,0.2666251131693328
drug_overdose_death_rate,broadband_access_pct,1921,0.18388054195298636,4.0971029526046015e-09,0.2666251131693328
drug_overdose_death_rate,uninsured_pct,1921,-0.27068502607451805,8.693993379461027e-24,0.2666251131693328
drug_overdose_death_rate,pop_per_pcp,1921,0.07461853279323817,0.004019860063495674,0.2666251131693328
drug_overdose_death_rate,pop_per_mental_health_provider,1921,0.166389626414689,6.237045036267135e-12,0.2666251131693328
drug_overdose_death_rate,pm25,1921,-0.16101997921514077,8.19266054752946e-14,0.2666251131693328
drug_overdose_death_rate,severe_housing_problems_pct,1921,-0.03611738020112035,0.16740878984958113,0.2666251131693328
drug_overdose_death_rate,food_environment_index,1921,-0.036970224438174645,0.24886599694679487,0.2666251131693328
drug_overdose_death_rate,long_commute_pct,1921,0.314962939685379,1.9001936350757466e-36,0.2666251131693328
suicide_death_rate,median_household_income,1892,-0.3022687203631216,2.755622319875906e-12,0.2388791083732752
suicide_death_rate,income_inequality_ratio,1892,-0.15919767272740795,8.236848396273085e-08,0.2388791083732752
suicide_death_rate,unemployment_pct,1892,0.10298566120475904,5.777701599921996e-05,0.2388791083732752
suicide_death_rate,child_poverty_pct,1892,-0.13415706752883466,0.003127761127216792,0.2388791083732752
suicide_death_rate,hs_completion_pct,1892,0.33802977604614365,6.959887919578867e-24,0.2388791083732752
suicide_death_rate,broadband_access_pct,1892,-0.17981682195882923,1.970151823999934e-08,0.2388791083732752
suicide_death_rate,uninsured_pct,1892,0.2135395810811874,8.507021631045649e-15,0.2388791083732752
suicide_death_rate,pop_per_pcp,1892,-0.08439616121414614,0.0015314056451302801,0.2388791083732752
suicide_death_rate,pop_per_mental_health_provider,1892,0.13276083219393753,8.719560684963474e-08,0.2388791083732752
suicide_death_rate,pm25,1892,-0.08148333058329835,0.0002187362121542662,0.2388791083732752
suicide_death_rate,severe_housing_problems_pct,1892,-0.061180334070732055,0.023815875282426076,0.2388791083732752
suicide_death_rate,food_environment_index,1892,-0.18794858707275938,1.4956365550723325e-08,0.2388791083732752
suicide_death_rate,long_commute_pct,1892,0.017991813672949046,0.47310991177476147,0.2388791083732752
heart_disease_death_rate,median_household_income,1921,-0.20525363239004782,8.945883946123601e-09,0.47241079306095735
heart_disease_death_rate,income_inequality_ratio,1921,0.0726937610335424,0.0028628998247951123,0.47241079306095735
heart_disease_death_rate,unemployment_pct,1921,-0.10244657457373073,1.4027454019395143e-06,0.47241079306095735
heart_disease_death_rate,child_poverty_pct,1921,0.2678418992552207,8.123157963829783e-13,0.47241079306095735
heart_disease_death_rate,hs_completion_pct,1921,-0.13497326479308383,9.36971974075536e-07,0.47241079306095735
heart_disease_death_rate,broadband_access_pct,1921,0.07093592303541901,0.0072722181233668805,0.47241079306095735
heart_disease_death_rate,uninsured_pct,1921,-0.055158985977571934,0.014432942511814222,0.47241079306095735
heart_disease_death_rate,pop_per_pcp,1921,-0.06197241194763505,0.004849545187620745,0.47241079306095735
heart_disease_death_rate,pop_per_mental_health_provider,1921,0.0030009593137246067,0.8830666986779278,0.47241079306095735
heart_disease_death_rate,pm25,1921,0.07515287395146196,3.627796998964909e-05,0.47241079306095735
heart_disease_death_rate,severe_housing_problems_pct,1921,-0.27845477113830125,8.624032381922875e-35,0.47241079306095735
heart_disease_death_rate,food_environment_index,1921,-0.23090327368690344,3.967566012534075e-17,0.47241079306095735
