ticker,p_net_positive,p_lift,p_strong_lift,p_moderate_lift,p_neutral,p_moderate_crush,p_crush,p_severe_crush,median_cum_thematic,p10_cum,p90_cum,mean_cum_thematic,std_cum,p_top_quartile,p_bottom_quartile,company
TRUP,0.7527,0.324,0.0406,0.5574,0.3191,0.1235,0.0548,0.0083,0.06242061479467796,-0.06359840999926186,0.165419108289881,0.05558593210081667,0.09068483720618425,0.5362,0.1654,Trupanion
CHWY,0.745,0.2517,0.0167,0.5018,0.3866,0.1116,0.0423,0.0032,0.050405125551324356,-0.05639602317644184,0.14129883252967315,0.04622585509528307,0.07849635953501505,0.4752,0.164,Chewy
IDXX,0.7252,0.1966,0.0066,0.4597,0.4366,0.1037,0.03,0.0016,0.04297427437333938,-0.05137668062706587,0.12692952867458654,0.03955863307946649,0.07054206712940188,0.4242,0.1616,Idexx Laboratories
NVDA,0.6181,0.1634,0.0102,0.366,0.4473,0.1867,0.0767,0.0103,0.023199702229385125,-0.08601718732927112,0.12191843570849653,0.02028366747991468,0.08301854463531258,0.3399,0.2624,NVIDIA
MNST,0.7203,0.1418,0.0025,0.4121,0.4949,0.093,0.0212,0.0004,0.03628218416694326,-0.04692525574292209,0.11220149747669984,0.03435972790564539,0.06258397143907521,0.3769,0.1578,Monster Beverage
RBLX,0.6425,0.14,0.0062,0.3627,0.4863,0.151,0.0502,0.0029,0.0261286154483018,-0.06896040696538593,0.11377642505549698,0.023313142571866195,0.07273089476900135,0.3288,0.2303,Roblox
PLNT,0.6876,0.1335,0.0027,0.3838,0.5125,0.1037,0.0239,0.0,0.03113885428075422,-0.0512368324694791,0.11089288584890541,0.03017845573987563,0.06346526655649787,0.3459,0.1724,Planet Fitness
LYV,0.6303,0.1258,0.0031,0.3446,0.5084,0.147,0.0441,0.0018,0.02296732859303131,-0.06812722477883677,0.10856294418428955,0.02149773051100286,0.0695809116674171,0.3127,0.2312,Live Nation
CELH,0.6911,0.1116,0.0005,0.3597,0.5487,0.0916,0.0172,0.0002,0.029822957780180254,-0.04682655296839445,0.10327094433825179,0.028647692657579098,0.05885373695319883,0.322,0.1641,Celsius Holdings
TTWO,0.6302,0.11,0.0021,0.3333,0.519,0.1477,0.0404,0.0015,0.021345112913696257,-0.0663024483105506,0.10357519651395046,0.02018365547106424,0.06689638453274131,0.2993,0.2319,Take-Two Interactive
ELAN,0.6794,0.1015,0.0017,0.3443,0.5554,0.1003,0.0216,0.0002,0.027212966709390312,-0.05007487601972702,0.10042464603858159,0.026095362223788277,0.05917582984785498,0.3069,0.1765,Elanco Animal Health
CRWD,0.6227,0.0976,0.002,0.3152,0.5518,0.133,0.0291,0.0007,0.01916430419784329,-0.06080936222515648,0.09918291414779042,0.019316125887602988,0.0627385385023882,0.2812,0.2245,CrowdStrike
KDP,0.691,0.0923,0.001,0.3429,0.5682,0.0889,0.0123,0.0,0.027468426051100545,-0.04575784056905398,0.09751280738380712,0.026685117756256288,0.05591384689690617,0.3052,0.1668,Keurig Dr Pepper
PLAY,0.6053,0.0892,0.0017,0.2967,0.5439,0.1594,0.0462,0.0012,0.016302346660608903,-0.06942955062745781,0.09603145972450906,0.014557252612930649,0.06546677013371745,0.2617,0.2482,Dave & Buster's
HAS,0.6248,0.0865,0.0004,0.3021,0.5642,0.1337,0.0301,0.0004,0.01902493724857849,-0.06074023628102512,0.09427837078090445,0.017675999530898146,0.0611907788340909,0.2635,0.2196,Hasbro
MODG,0.5822,0.0862,0.0013,0.2847,0.5419,0.1734,0.0529,0.0021,0.013693688823842821,-0.07392460761361744,0.0944783644073738,0.011817393905187589,0.06689183194909076,0.2479,0.2614,Topgolf Callaway Brands
ONON,0.6308,0.0853,0.0006,0.3013,0.5849,0.1138,0.0205,0.0002,0.020494240467201844,-0.055259237745222636,0.09403603334047585,0.019715344105560428,0.058170299926387385,0.2626,0.204,On Holding
PANW,0.6184,0.0842,0.0015,0.2942,0.5696,0.1362,0.0306,0.0004,0.017896395521916887,-0.061077724500179564,0.09393317979369155,0.016927735539740415,0.060626900178401326,0.258,0.2268,Palo Alto Networks
SONY,0.6174,0.0738,0.0001,0.2836,0.5938,0.1226,0.0265,0.0001,0.016639805235426915,-0.056885417167281425,0.09097811328404216,0.016499829497417736,0.05801216801943084,0.245,0.2127,Sony Group
WMG,0.5925,0.0725,0.0007,0.272,0.5727,0.1553,0.0433,0.0012,0.013963733044563826,-0.06766500189981133,0.08977221457192176,0.011840216203476304,0.0621001465577147,0.2389,0.2511,Warner Music Group
PEP,0.6501,0.0636,0.0002,0.2876,0.6095,0.1029,0.015,0.0,0.02080833787643832,-0.05111723328551374,0.0872679209249054,0.019491544665204724,0.05376966246932818,0.2502,0.1895,PepsiCo
