ticker,start_date,end_date,total_return_pct,cagr_pct,normalized_end,period_label
ACHC,2015-01-02,2026-08-07,-47.43,-5.4,52.57,2015_to_present
BKNG,2015-01-02,2026-08-07,379.34,14.47,479.34,2015_to_present
CCL,2015-01-02,2026-08-07,-24.31,-2.37,75.69,2015_to_present
CYH,2015-01-02,2026-08-07,-93.25,-20.75,6.75,2015_to_present
DIS,2015-01-02,2026-08-07,23.84,1.86,123.84,2015_to_present
EHC,2015-01-02,2026-08-07,403.22,14.95,503.22,2015_to_present
EXPE,2015-01-02,2026-08-07,285.96,12.35,385.96,2015_to_present
FUN,2015-01-02,2026-08-07,-49.89,-5.79,50.11,2015_to_present
HCA,2015-01-02,2026-08-07,503.27,16.77,603.27,2015_to_present
LYV,2015-01-02,2026-08-07,590.6,18.14,690.6,2015_to_present
MANU,2015-01-02,2026-08-07,47.58,3.41,147.58,2015_to_present
MTN,2015-01-02,2026-08-07,132.84,7.56,232.84,2015_to_present
NCLH,2015-01-02,2026-08-07,-58.78,-7.36,41.22,2015_to_present
RCL,2015-01-02,2026-08-07,344.92,13.74,444.92,2015_to_present
SPY,2015-01-02,2026-08-07,355.7,13.97,455.7,2015_to_present
THC,2015-01-02,2026-08-07,422.07,15.32,522.07,2015_to_present
UHS,2015-01-02,2026-08-07,64.05,4.36,164.05,2015_to_present
XLV,2015-01-02,2026-08-07,191.65,9.67,291.65,2015_to_present
XLY,2015-01-02,2026-08-07,279.62,12.19,379.62,2015_to_present
ACHC,2019-01-02,2026-08-07,21.93,2.64,121.93,2019_to_present
BKNG,2019-01-02,2026-08-07,217.96,16.45,317.96,2019_to_present
CCL,2019-01-02,2026-08-07,-37.75,-6.05,62.25,2019_to_present
CYH,2019-01-02,2026-08-07,-5.36,-0.72,94.64,2019_to_present
DIS,2019-01-02,2026-08-07,0.51,0.07,100.51,2019_to_present
EHC,2019-01-02,2026-08-07,181.66,14.61,281.66,2019_to_present
EXPE,2019-01-02,2026-08-07,185.17,14.8,285.17,2019_to_present
FUN,2019-01-02,2026-08-07,-59.82,-11.31,40.18,2019_to_present
HCA,2019-01-02,2026-08-07,262.16,18.47,362.16,2019_to_present
LYV,2019-01-02,2026-08-07,273.96,18.97,373.96,2019_to_present
MANU,2019-01-02,2026-08-07,20.4,2.47,120.4,2019_to_present
MSGS,2019-01-02,2026-08-07,115.5,10.64,215.5,2019_to_present
MTN,2019-01-02,2026-08-07,-9.33,-1.28,90.67,2019_to_present
NCLH,2019-01-02,2026-08-07,-54.58,-9.87,45.42,2019_to_present
PLNT,2019-01-02,2026-08-07,-6.66,-0.9,93.34,2019_to_present
RCL,2019-01-02,2026-08-07,248.33,17.86,348.33,2019_to_present
SPY,2019-01-02,2026-08-07,245.5,17.73,345.5,2019_to_present
THC,2019-01-02,2026-08-07,1375.13,42.53,1475.13,2019_to_present
UHS,2019-01-02,2026-08-07,52.97,5.76,152.97,2019_to_present
XLV,2019-01-02,2026-08-07,121.08,11.01,221.08,2019_to_present
XLY,2019-01-02,2026-08-07,157.42,13.26,257.42,2019_to_present
ACHC,2022-01-03,2026-08-07,-47.69,-13.16,52.31,2022_to_present
BKNG,2022-01-03,2026-08-07,122.41,19.02,222.41,2022_to_present
CCL,2022-01-03,2026-08-07,37.58,7.2,137.58,2022_to_present
CYH,2022-01-03,2026-08-07,-77.38,-27.65,22.62,2022_to_present
DIS,2022-01-03,2026-08-07,-30.98,-7.76,69.02,2022_to_present
DKNG,2022-01-03,2026-08-07,-13.47,-3.1,86.53,2022_to_present
EHC,2022-01-03,2026-08-07,145.64,21.62,245.64,2022_to_present
EXPE,2022-01-03,2026-08-07,70.05,12.26,170.05,2022_to_present
FUN,2022-01-03,2026-08-07,-65.66,-20.77,34.34,2022_to_present
HCA,2022-01-03,2026-08-07,69.0,12.11,169.0,2022_to_present
LYV,2022-01-03,2026-08-07,49.13,9.09,149.13,2022_to_present
MANU,2022-01-03,2026-08-07,48.41,8.98,148.41,2022_to_present
MSGS,2022-01-03,2026-08-07,130.45,19.94,230.45,2022_to_present
MTN,2022-01-03,2026-08-07,-43.1,-11.56,56.9,2022_to_present
NCLH,2022-01-03,2026-08-07,-13.21,-3.04,86.79,2022_to_present
PLNT,2022-01-03,2026-08-07,-45.66,-12.44,54.34,2022_to_present
RCL,2022-01-03,2026-08-07,307.1,35.77,407.1,2022_to_present
SPY,2022-01-03,2026-08-07,72.03,12.54,172.03,2022_to_present
THC,2022-01-03,2026-08-07,227.87,29.51,327.87,2022_to_present
UHS,2022-01-03,2026-08-07,34.5,6.67,134.5,2022_to_present
XLV,2022-01-03,2026-08-07,27.9,5.51,127.9,2022_to_present
XLY,2022-01-03,2026-08-07,18.42,3.75,118.42,2022_to_present
