source,year,sample,metric,value,url
Harris Poll Gen Z Weekend Report,2026,"4,100 US adults 18+",gen_z_weekend_loneliness_pct,51,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf
Harris Poll Gen Z Weekend Report,2026,,gen_z_social_life_more_through_phone_pct,65,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf
Harris Poll Gen Z Weekend Report,2026,,gen_z_wish_online_friendships_became_irl_pct,62,https://theharrispoll.com/wp-content/uploads/2026/07/The-Gen-Z-Weekend-Report-July-2026.pdf
Spotify Culture Next,2024,"7,700 Gen Z/Millennials globally",gen_z_lonelier_than_10_years_ago_pct,61,https://wwd.com/business-news/business-features/spotify-culture-next-gen-z-in-person-experiences-1236673797/
Spotify Culture Next,2024,,gen_z_attended_concert_live_show_past_year_pct,74,https://wwd.com/business-news/business-features/spotify-culture-next-gen-z-in-person-experiences-1236673797/
Eventbrite Fourth Spaces Report,2025,"2,000 US adults 18-35",interested_in_irl_events_from_online_interests_pct,95,https://www.eventbrite.com/blog/wp-content/uploads/2025/01/Eventbrite-_-Fourth-Spaces-_-Jan.-2025.pdf
Eventbrite Fourth Spaces Report,2025,,plan_to_attend_live_events_next_6mo_pct,73,https://www.businesswire.com/news/home/20250128081264/en/
Eventbrite Fourth Spaces Report,2025,,formed_close_friend_through_interest_event_pct,84,https://www.businesswire.com/news/home/20250128081264/en/
Arival Event-Driven Traveler,2024,"2,400 US/EU event travelers",us_18_34_event_major_destination_factor_pct,48,https://www.eventindustrynews.com/news/events-are-the-new-anchor-for-travel-arival-report-reveals-young-travelers-are-planning-trips-around-concerts-matches-and-performances
Bank of America Summer Travel Survey,2025,,gen_z_traveled_for_concert_event_past_2yr_pct,67,https://www.emarketer.com/content/2025-will-record-year-concertgoing
